new_ids,song,type,region,glottocode
NHS2-OPGO,NHS2-0738,Lullaby,Maya Area,kekc1242
NHS2-BBYW,NHS2-0740,Love,Maya Area,ladi1251
NHS2-58Q4,NHS2-0741,Play,Maya Area,stan1288
NHS2-MLGC,NHS2-0742,Play,Maya Area,stan1288
NHS2-27QB,NHS2-0745,Mourning,Maya Area,maya1287
NHS2-P2A1,NHS2-0746,Dance,Maya Area,tzot1259
NHS2-BUR0,NHS2-0747,Healing,Maya Area,yuca1254
NHS2-60XM,NHS2-0748,Lullaby,Maya Area,stan1288
NHS2-U16R,NHS2-0757,Healing,Melanesia,sepi1257
NHS2-LKVC,NHS2-0758,Lullaby,Melanesia,baeg1237
NHS2-JZTN,NHS2-0759,Story,Melanesia,baeg1237
NHS2-J94J,NHS2-0763,Mourning,Southeast Asia,eipo1242
NHS2-NGPL,NHS2-0766,Story,Melanesia,fata1245
NHS2-1FS4,NHS2-0768,Praise,Melanesia,kala1377
NHS2-TQBZ,NHS2-0772,Mourning,Melanesia,kaul1240
NHS2-B3BI,NHS2-0780a,Work,Melanesia,pura1257
NHS2-5M11,NHS2-0781a,Work,Melanesia,aman1265
NHS2-76SZ,NHS2-0783,Procession,Melanesia,kuma1280
NHS2-I3RO,NHS2-0791,Love,Melanesia,melp1238
NHS2-2BT6,NHS2-0795,Dance,Melanesia,loya1239
NHS2-SIPH,NHS2-0796,Lullaby,Melanesia,kwen1247
NHS2-KEES,NHS2-0800,Work,Melanesia,tang1348
NHS2-Y0IQ,NHS2-0808,Praise,Melanesia,tokp1240
NHS2-QE86,NHS2-0814,Story,Melanesia,vani1248
NHS2-P4RY,NHS2-0815,Healing,Melanesia,oloo1241
NHS2-53YA,NHS2-0816,Dance,Micronesia,gilb1244
NHS2-O9IK,NHS2-0817,Healing,Micronesia,chuu1238
NHS2-SXIG,NHS2-0819,Love,Micronesia,chuu1238
NHS2-ZO18,NHS2-0825,Mourning,Micronesia,pala1344
NHS2-33X8,NHS2-0835,Play,Micronesia,ulit1238
NHS2-30HL,NHS2-0836,Procession,Micronesia,ulit1238
NHS2-IR7K,NHS2-0838,Story,Micronesia,ulit1238
NHS2-D16Y,NHS2-0840,Work,Micronesia,ulit1238
NHS2-O2X0,NHS2-0841,Work,Micronesia,ulit1238
NHS2-DNTO,NHS2-0842,Healing,Micronesia,wole1240
NHS2-8WO9,NHS2-0843,Healing,Micronesia,wole1240
NHS2-MZ0X,NHS2-0844,Healing,Micronesia,wole1240
NHS2-YWDM,NHS2-0845,Healing,Micronesia,wole1240
NHS2-RSUK,NHS2-0846,Love,Micronesia,wole1240
NHS2-JDU3,NHS2-0847,Love,Micronesia,wole1240
NHS2-945J,NHS2-0848,Love,Micronesia,wole1240
NHS2-T3VD,NHS2-0849,Love,Micronesia,wole1240
NHS2-XTVF,NHS2-0850,Mourning,Micronesia,wole1240
NHS2-85GU,NHS2-0851,Mourning,Micronesia,wole1240
NHS2-2EKA,NHS2-0852,Praise,Micronesia,pala1344
NHS2-FSVL,NHS2-0853,Praise,Micronesia,wole1240
NHS2-SI3B,NHS2-0854,Praise,Micronesia,wole1240
NHS2-YP5F,NHS2-0855,Praise,Micronesia,wole1240
NHS2-VAAN,NHS2-0856,Praise,Micronesia,wole1240
NHS2-UJC0,NHS2-0857,Praise,Micronesia,wole1240
NHS2-FSYR,NHS2-0858,Praise,Micronesia,wole1240
NHS2-NH07,NHS2-0859,Praise,Micronesia,wole1240
NHS2-EVMY,NHS2-0860,Praise,Micronesia,wole1240
NHS2-UO3R,NHS2-0861,Praise,Micronesia,wole1240
NHS2-PNXC,NHS2-0862,Praise,Micronesia,wole1240
NHS2-02B5,NHS2-0863,Story,Micronesia,wole1240
NHS2-HMPO,NHS2-0864,Story,Micronesia,wole1240
NHS2-3QA7,NHS2-0865,Story,Micronesia,wole1240
NHS2-JP5C,NHS2-0866,Story,Micronesia,wole1240
NHS2-IEJB,NHS2-0867,Story,Micronesia,wole1240
NHS2-G3FF,NHS2-0868,Mourning,Micronesia,wole1240
NHS2-W025,NHS2-0869,Story,Micronesia,wole1240
NHS2-6IWA,NHS2-0870,Story,Micronesia,yape1248
NHS2-YLEN,NHS2-0872,Dance,Micronesia,yape1248
NHS2-9Y4I,NHS2-0873,Dance,Micronesia,yape1248
NHS2-N13N,NHS2-0874,Healing,Micronesia,yape1248
NHS2-K2OH,NHS2-0875,Lullaby,Micronesia,yape1248
NHS2-SCB2,NHS2-0876,Procession,Micronesia,yape1248
NHS2-JCFF,NHS2-0877,Procession,Micronesia,yape1248
NHS2-5KU4,NHS2-0878,Dance,Micronesia,yape1248
NHS2-1SJM,NHS2-0879,Story,Micronesia,yape1248
NHS2-KOWN,NHS2-0881,Work,Micronesia,yape1248
NHS2-EZD1,NHS2-0882,Work,Micronesia,yape1248
NHS2-0DSZ,NHS2-0884,Dance,Middle East,cent1972
NHS2-V3JT,NHS2-0885,Love,Middle East,cent1972
NHS2-985K,NHS2-0887,Love,Caucasus,cent1972
NHS2-SN80,NHS2-0888,Love,Middle East,cent1972
NHS2-X9YD,NHS2-0889,Love,Middle East,cent1972
NHS2-6LBX,NHS2-0890,Love,Middle East,cent1972
NHS2-YRRB,NHS2-0891,Love,Middle East,cent1972
NHS2-T8GK,NHS2-0892,Lullaby,Middle East,cent1972
NHS2-EAKC,NHS2-0893,Mourning,Middle East,cent1972
NHS2-V8Y5,NHS2-0894,Praise,Middle East,cent1972
NHS2-L75M,NHS2-0896,Work,Middle East,gulf1241
NHS2-XZS0,NHS2-0897,Procession,Middle East,hadr1236
NHS2-AMSU,NHS2-0898,Work,Middle East,hadr1236
NHS2-3ID0,NHS2-0899,Story,Middle East,maza1291
NHS2-LU0Q,NHS2-0901,Story,Middle East,nort2641
NHS2-XU3K,NHS2-0902,Mourning,Middle East,nort3139
NHS2-ZU2O,NHS2-0903,Mourning,Middle East,nort3139
NHS2-24OH,NHS2-0904,Dance,Central Asia,taji1245
NHS2-P7C5,NHS2-0905,Love,Central Asia,taji1245
NHS2-PSEZ,NHS2-0906,Healing,Middle East,turk1304
NHS2-MQJA,NHS2-0908,Dance,North Asia,chuk1273
NHS2-2BQL,NHS2-0909,Dance,North Asia,chuk1273
NHS2-KEAW,NHS2-0910,Lullaby,North Asia,chuk1273
NHS2-V8VZ,NHS2-0911,Work,North Asia,chuk1273
NHS2-8HH5,NHS2-0912,Work,North Asia,chuk1273
NHS2-WKJ6,NHS2-0913,Dance,North Asia,even1259
NHS2-T4JD,NHS2-0914,Dance,North Asia,even1259
NHS2-3T3T,NHS2-0915,Healing,North Asia,even1259
NHS2-4NOR,NHS2-0916,Healing,North Asia,even1259
NHS2-BMTG,NHS2-0918,Lullaby,North Asia,gily1242
NHS2-84QJ,NHS2-0919,Lullaby,North Asia,gily1242
NHS2-FAYF,NHS2-0920,Work,North Asia,gily1242
NHS2-8HYJ,NHS2-0921,Dance,North Asia,kory1246
NHS2-2OZH,NHS2-0924,Healing,North Asia,nana1257
NHS2-5IXS,NHS2-0925,Lullaby,North Asia,nana1257
NHS2-8Z3Q,NHS2-0926,Story,North Asia,nana1257
NHS2-YH6E,NHS2-0927,Work,North Asia,nana1257
NHS2-RSPL,NHS2-0931,Lullaby,North Asia,nort2745
NHS2-1MJA,NHS2-0933,Dance,North Asia,russ1264
NHS2-AJ1X,NHS2-0934,Play,North Asia,russ1264
NHS2-YXHK,NHS2-0937,Love,North Asia,selk1253
NHS2-NE2L,NHS2-0943,Mourning,North Asia,yaku1245
NHS2-CLZB,NHS2-0944,Play,North Asia,yaku1245
NHS2-YVEE,NHS2-0945,Story,North Asia,yaku1245
NHS2-0878,NHS2-0948,Praise,Northern Africa,cent2194
NHS2-GN0J,NHS2-0950,Dance,Northern Africa,gour1247
NHS2-SLI8,NHS2-0951,Praise,Northern Africa,hass1238
NHS2-R3J7,NHS2-0952,Story,Northern Africa,hass1238
NHS2-W0KE,NHS2-0954,Love,Northern Africa,nubi1251
NHS2-FIKU,NHS2-0957,Healing,Southern Africa,dama1270
NHS2-6VND,NHS2-0958,Procession,Northern Africa,beja1238
NHS2-KHKQ,NHS2-0962,Mourning,Eastern Africa,pari1256
NHS2-1IVN,NHS2-0965,Procession,Northern Africa,arab1395
NHS2-LXQB,NHS2-0966,Procession,Northern Africa,atla1275
NHS2-MQEX,NHS2-0968,Lullaby,Northern Africa,tuar1240
NHS2-PCMH,NHS2-0969,Mourning,Northern Africa,tuar1240
NHS2-IPN6,NHS2-0971,Love,Northern Africa,tama1365
NHS2-GGHC,NHS2-0972,Love,Northern Africa,tama1365
NHS2-CRJW,NHS2-0973,Healing,Northern Africa,tuni1259
NHS2-A6ZN,NHS2-0975,Story,Northern Mexico,cent2131
NHS2-DE8R,NHS2-0977,Dance,Northern Mexico,yaqu1251
NHS2-RH4A,NHS2-0978,Dance,Northern Mexico,elna1235
NHS2-3OER,NHS2-0982,Love,Northern Mexico,huic1243
NHS2-Z8Q6,NHS2-0984,Dance,Northern Mexico,mayo1264
NHS2-6WJ2,NHS2-0986,Healing,Northern Mexico,seri1257
NHS2-U27X,NHS2-0987,Lullaby,Northern Mexico,seri1257
NHS2-S33R,NHS2-0988,Procession,Northern Mexico,seri1257
NHS2-JL5D,NHS2-0990,Love,Northern Mexico,stan1288
NHS2-66UQ,NHS2-0993,Story,Northern Mexico,stan1288
NHS2-4MSG,NHS2-0994,Story,Northern Mexico,stan1288
NHS2-PKDR,NHS2-0996,Dance,Northern Mexico,yaqu1251
NHS2-SIW1,NHS2-0999b,Lullaby,Northwest Coast and California,nucl1649
NHS2-ELP3,NHS2-1000,Lullaby,Northwest Coast and California,haid1248
NHS2-OIRZ,NHS2-1002,Healing,Northwest Coast and California,kwak1269
NHS2-8TRZ,NHS2-1003,Healing,Northwest Coast and California,kwak1269
NHS2-8QBW,NHS2-1004,Love,Northwest Coast and California,kwak1269
NHS2-I0MN,NHS2-1005,Procession,Northwest Coast and California,kwak1269
NHS2-VX6K,NHS2-1008,Dance,Northwest Coast and California,nuuc1236
NHS2-T1CP,NHS2-1011,Dance,Northwest Coast and California,tlin1245
NHS2-XHF3,NHS2-1014,Dance,Northwestern South America,arhu1242
NHS2-4KP9,NHS2-1015,Healing,Northwestern South America,arhu1242
NHS2-LQB9,NHS2-1022,Dance,Northwestern South America,chac1249
NHS2-405L,NHS2-1023,Healing,Northwestern South America,cogu1240
NHS2-TKZU,NHS2-1024,Love,Northwestern South America,cogu1240
NHS2-VN77,NHS2-1025,Mourning,Northwestern South America,amer1254
NHS2-FNOC,NHS2-1026,Mourning,Northwestern South America,amer1254
NHS2-0OA3,NHS2-1031,Work,Northwestern South America,piar1243
NHS2-1G5V,NHS2-1033,Healing,Northwestern South America,shua1257
NHS2-BJKN,NHS2-1034,Love,Northwestern South America,jiva1245
NHS2-YLXK,NHS2-1035,Love,Northwestern South America,jiva1245
NHS2-V8OE,NHS2-1036,Lullaby,Northwestern South America,shua1257
NHS2-3GZM,NHS2-1037,Dance,Northwestern South America,stan1288
NHS2-BCK7,NHS2-1039,Dance,Northwestern South America,stan1288
NHS2-Z96V,NHS2-1041,Lullaby,Northwestern South America,stan1288
NHS2-MSYE,NHS2-1042,Lullaby,Northwestern South America,stan1288
NHS2-ES3W,NHS2-1045,Mourning,Northwestern South America,stan1288
NHS2-DW2U,NHS2-1046,Story,Northwestern South America,stan1288
NHS2-6B0V,NHS2-1047,Play,Northwestern South America,stan1288
NHS2-EXGU,NHS2-1048,Play,Northwestern South America,stan1288
NHS2-2YCF,NHS2-1049,Play,Northwestern South America,stan1288
NHS2-K4KN,NHS2-1050,Play,Northwestern South America,stan1288
NHS2-VP4E,NHS2-1054,Procession,Northwestern South America,stan1288
NHS2-HMFN,NHS2-1059,Story,Northwestern South America,waor1240
NHS2-2QZ5,NHS2-1061,Lullaby,Northwestern South America,wayu1243
NHS2-KTHL,NHS2-1066,Play,Plains and Plateau,chey1247
NHS2-QU3B,NHS2-1067,Dance,Plains and Plateau,cree1272
NHS2-9BBL,NHS2-1068,Healing,Plains and Plateau,lako1247
NHS2-LFIO,NHS2-1069,Praise,Plains and Plateau,dako1258
NHS2-NODK,NHS2-1070,Healing,Plains and Plateau,kali1308
NHS2-56ZE,NHS2-1071,Love,Plains and Plateau,kali1308
NHS2-EVGH,NHS2-1072,Lullaby,Plains and Plateau,kali1308
NHS2-IPO1,NHS2-1073,Lullaby,Plains and Plateau,kiow1264
NHS2-WY88,NHS2-1078,Healing,Plains and Plateau,pawn1254
NHS2-EYBO,NHS2-1079,Love,Plains and Plateau,pawn1254
NHS2-KBLR,NHS2-1081,Story,Plains and Plateau,pawn1254
NHS2-8SSJ,NHS2-1083,Dance,Plains and Plateau,siks1238
NHS2-BX0P,NHS2-1084,Healing,Plains and Plateau,pieg1239
NHS2-JC95,NHS2-1085,Lullaby,Plains and Plateau,siks1238
NHS2-9GA2,NHS2-1087,Dance,Polynesia,hawa1245
NHS2-EXN7,NHS2-1089,Healing,Polynesia,hawa1245
NHS2-PS37,NHS2-1090,Love,Polynesia,hawa1245
NHS2-QX2Q,NHS2-1096,Love,Polynesia,maor1246
NHS2-79XK,NHS2-1097,Love,Polynesia,maor1246
NHS2-LDPM,NHS2-1098,Love,Polynesia,maor1246
NHS2-MW5F,NHS2-1100,Love,Polynesia,maor1246
NHS2-VQLP,NHS2-1101,Love,Polynesia,maor1246
NHS2-CYTF,NHS2-1103,Love,Polynesia,maor1246
NHS2-VI5Q,NHS2-1105,Love,Polynesia,maor1246
NHS2-ZEU0,NHS2-1106,Lullaby,Polynesia,maor1246
NHS2-LT6Y,NHS2-1107,Lullaby,Polynesia,maor1246
NHS2-G3HZ,NHS2-1108,Lullaby,Polynesia,maor1246
NHS2-MEUM,NHS2-1109,Lullaby,Polynesia,maor1246
NHS2-L4AU,NHS2-1111,Mourning,Polynesia,maor1246
NHS2-5XFO,NHS2-1112,Mourning,Polynesia,maor1246
NHS2-NVVR,NHS2-1113,Mourning,Polynesia,maor1246
NHS2-0KOG,NHS2-1114,Mourning,Polynesia,maor1246
NHS2-RU8O,NHS2-1115,Mourning,Polynesia,maor1246
NHS2-5NE5,NHS2-1116,Story,Polynesia,raro1242
NHS2-VDT8,NHS2-1117,Story,Polynesia,raro1241
NHS2-BGQZ,NHS2-1120,Work,Polynesia,maor1246
NHS2-3JUS,NHS2-1121,Work,Polynesia,maor1246
NHS2-863N,NHS2-1123,Work,Polynesia,maor1246
NHS2-KVWI,NHS2-1124,Work,Polynesia,maor1246
NHS2-K9E6,NHS2-1125,Play,Polynesia,niue1239
NHS2-VIBU,NHS2-1126,Praise,Polynesia,niue1239
NHS2-GKCY,NHS2-1132,Play,Polynesia,sout2866
NHS2-IVGT,NHS2-1133,Play,Polynesia,sout2866
NHS2-6NC7,NHS2-1134,Play,Polynesia,sout2866
NHS2-8NAB,NHS2-1135,Procession,Polynesia,sout2866
NHS2-JRP2,NHS2-1140,Healing,Polynesia,samo1305
NHS2-R06P,NHS2-1142,Lullaby,Polynesia,samo1305
NHS2-5NO3,NHS2-1143,Lullaby,Polynesia,samo1305
NHS2-8QYQ,NHS2-1144,Lullaby,Polynesia,samo1305
NHS2-4RW7,NHS2-1145,Lullaby,Polynesia,samo1305
NHS2-CP78,NHS2-1146,Lullaby,Polynesia,samo1305
NHS2-RP29,NHS2-1147,Lullaby,Polynesia,samo1305
NHS2-V2UK,NHS2-1148,Play,Polynesia,samo1305
NHS2-445H,NHS2-1152,Praise,Polynesia,samo1305
NHS2-1BBL,NHS2-1153,Praise,Polynesia,samo1305
NHS2-VRUD,NHS2-1154,Praise,Polynesia,samo1305
NHS2-18X6,NHS2-1156,Dance,Polynesia,samo1305
NHS2-KIYM,NHS2-1160,Dance,Polynesia,tiko1237
NHS2-JQTW,NHS2-1161,Dance,Polynesia,tiko1237
NHS2-DHAP,NHS2-1166,Mourning,Polynesia,tiko1237
NHS2-K16P,NHS2-1168,Play,Melanesia,tiko1237
NHS2-6TYM,NHS2-1169,Story,Melanesia,tiko1237
NHS2-MG6Y,NHS2-1173,Dance,Polynesia,tong1325
NHS2-VXRD,NHS2-1174,Mourning,Polynesia,tong1325
NHS2-DTDM,NHS2-1175,Play,Polynesia,tong1325
NHS2-QJ8L,NHS2-1176,Play,Polynesia,tong1325
NHS2-VZGV,NHS2-1177,Play,Polynesia,tong1325
NHS2-46KG,NHS2-1180,Lullaby,Scandinavia,dani1285
NHS2-BX30,NHS2-1181,Praise,Scandinavia,dani1285
NHS2-VBO3,NHS2-1182,Love,Scandinavia,finn1318
NHS2-AIGL,NHS2-1183,Mourning,Scandinavia,finn1318
NHS2-TLT0,NHS2-1185,Lullaby,Scandinavia,icel1247
NHS2-56NT,NHS2-1186,Story,Scandinavia,icel1247
NHS2-YQ2F,NHS2-1187,Praise,Scandinavia,icel1247
NHS2-CP41,NHS2-1190,Love,Scandinavia,kemi1239
NHS2-M2GB,NHS2-1191,Dance,Scandinavia,norw1258
NHS2-NOHR,NHS2-1192,Lullaby,Scandinavia,norw1258
NHS2-YJ7K,NHS2-1193,Lullaby,Scandinavia,norw1258
NHS2-GT5R,NHS2-1193a,Lullaby,Scandinavia,norw1258
NHS2-KLEM,NHS2-1194,Mourning,Scandinavia,norw1258
NHS2-AN4C,NHS2-1195,Story,Scandinavia,norw1258
NHS2-W3XP,NHS2-1197,Work,Scandinavia,norw1258
NHS2-Q6FQ,NHS2-1198,Lullaby,Scandinavia,saam1281
NHS2-PASM,NHS2-1199,Dance,Scandinavia,sout2674
NHS2-R1O0,NHS2-1200,Dance,Scandinavia,swed1254
NHS2-NYZE,NHS2-1201,Love,Scandinavia,swed1254
NHS2-HJD6,NHS2-1202,Play,Scandinavia,swed1254
NHS2-X9CV,NHS2-1205,Love,South Asia,anga1288
NHS2-CVSK,NHS2-1206,Love,South Asia,beng1280
NHS2-VMFK,NHS2-1207,Story,South Asia,beng1280
NHS2-AGU1,NHS2-1208,Work,South Asia,beng1280
NHS2-ZMI9,NHS2-1209,Work,South Asia,beng1280
NHS2-330H,NHS2-1214,Healing,South Asia,bhoj1244
NHS2-1MOO,NHS2-1216,Story,South Asia,bhoj1244
NHS2-XMW2,NHS2-1217,Story,South Asia,bhoj1244
NHS2-YWOB,NHS2-1219,Work,South Asia,hind1269
NHS2-FSD4,NHS2-1220,Love,South Asia, oriy1255
NHS2-EMO1,NHS2-1221,Love,South Asia,buru1296
NHS2-3LYX,NHS2-1223,Love,South Asia,pash1269
NHS2-IPF3,NHS2-1224,Love,South Asia,chak1266
NHS2-S7VB,NHS2-1225,Lullaby,South Asia,chak1266
NHS2-AQU5,NHS2-1226,Story,South Asia,chak1266
NHS2-G0G2,NHS2-1228,Dance,South Asia,garo1247
NHS2-6CUN,NHS2-1231,Story,South Asia,hind1269
NHS2-79FC,NHS2-1232,Story,South Asia,jaun1243
NHS2-SG98,NHS2-1233,Dance,South Asia,kach1277
NHS2-GN1C,NHS2-1234,Dance,South Asia,guja1252
NHS2-QUO9,NHS2-1235,Praise,South Asia,tawa1289
NHS2-5HCI,NHS2-1238,Praise,South Asia,kota1263
NHS2-6UVI,NHS2-1242,Dance,South Asia,maha1287
NHS2-ZP5P,NHS2-1243,Love,South Asia,hima1250
NHS2-P77G,NHS2-1244,Dance,South Asia,mala1464
NHS2-JOI6,NHS2-1246,Love,South Asia,mala1464
NHS2-TFPI,NHS2-1247,Praise,South Asia,mala1464
NHS2-BJS2,NHS2-1248,Story,South Asia,mala1464
NHS2-F36Z,NHS2-1249,Story,South Asia,mala1464
NHS2-B0XT,NHS2-1250,Dance,South Asia,mala1464
NHS2-1VEN,NHS2-1251,Dance,South Asia,meit1246
NHS2-9Y3G,NHS2-1252,Praise,South Asia,meit1246
NHS2-BNQV,NHS2-1253,Lullaby,South Asia,mara1378
NHS2-5ETJ,NHS2-1255,Love,South Asia,muri1262
NHS2-USTD,NHS2-1256,Love,South Asia,nepa1254
NHS2-RDF4,NHS2-1257,Story,South Asia,pash1269
NHS2-7RR9,NHS2-1258,Lullaby,South Asia,tami1289
NHS2-AFQQ,NHS2-1262,Dance,South Asia,sora1254
NHS2-LYTO,NHS2-1263,Story,South Asia,sora1254
NHS2-AXMQ,NHS2-1264,Healing,South Asia,sora1254
NHS2-55W8,NHS2-1265,Praise,South Asia,sora1254
NHS2-L9OE,NHS2-1266,Praise,South Asia,sora1254
NHS2-J22Q,NHS2-1267,Story,South Asia,sora1254
NHS2-WXJ5,NHS2-1268,Work,South Asia,sora1254
NHS2-HHEG,NHS2-1271,Praise,South Asia,sera1259
NHS2-DKIW,NHS2-1272,Story,South Asia,sera1259
NHS2-8XAP,NHS2-1275,Lullaby,South Asia,tami1289
NHS2-OX4P,NHS2-1276,Mourning,South Asia,tami1289
NHS2-LG9Y,NHS2-1277,Mourning,South Asia,tami1289
NHS2-4B7D,NHS2-1278,Story,South Asia,telu1262
NHS2-J76G,NHS2-1279,Work,South Asia,drav1251
NHS2-UPEJ,NHS2-1280,Work,South Asia,drav1251
NHS2-TFXV,NHS2-1283,Procession,South Asia,toda1252
NHS2-DSTK,NHS2-1284,Love,South Asia,west2386
NHS2-1EJJ,NHS2-1285,Love,South Asia,west2386
NHS2-JWTI,NHS2-1289,Love,Southeast Asia,bali1278
NHS2-8D26,NHS2-1290,Love,Southeast Asia,pala1354
NHS2-LQEP,NHS2-1291,Story,Southeast Asia,pala1354
NHS2-UYWH,NHS2-1296,Mourning,Southeast Asia,eipo1242
NHS2-8LLJ,NHS2-1299,Lullaby,Southeast Asia,hanu1241
NHS2-LA7I,NHS2-1303,Lullaby,Southeast Asia,indo1316
NHS2-1D5A,NHS2-1304,Love,Southeast Asia,indo1317
NHS2-JYNI,NHS2-1305,Procession,Southeast Asia,iumi1238
NHS2-RHD1,NHS2-1306,Play,Southeast Asia,java1254
NHS2-Q655,NHS2-1307,Story,Southeast Asia,jeha1242
NHS2-A1WC,NHS2-1308,Procession,Southeast Asia,kamb1320
NHS2-MTQX,NHS2-1309,Work,Southeast Asia,kamb1320
NHS2-9GQR,NHS2-1310a,Work,Southeast Asia,kamb1320
NHS2-D04O,NHS2-1310b,Work,Southeast Asia,kamb1320
NHS2-NRZX,NHS2-1311,Love,Southeast Asia,kela1258
NHS2-13QA,NHS2-1312,Mourning,Southeast Asia,kema1243
NHS2-CJRT,NHS2-1313,Procession,Southeast Asia,kema1243
NHS2-9W4T,NHS2-1314,Story,Southeast Asia,kema1243
NHS2-8QLU,NHS2-1317,Work,Southeast Asia,kohi1250
NHS2-P32P,NHS2-1318,Lullaby,Southeast Asia,laoo1244
NHS2-I79R,NHS2-1319,Story,Southeast Asia,laoo1244
NHS2-XIJR,NHS2-1321,Work,Southeast Asia,lioo1240
NHS2-0BSK,NHS2-1322,Love,Southeast Asia,magu1243
NHS2-K4B7,NHS2-1323,Love,Southeast Asia,magu1243
NHS2-51BM,NHS2-1324,Lullaby,Southeast Asia,magu1243
NHS2-VGRT,NHS2-1326,Lullaby,Southeast Asia,magu1243
NHS2-TN8J,NHS2-1327,Story,Southeast Asia,magu1243
NHS2-VEE7,NHS2-1328,Dance,Southeast Asia,maka1311
NHS2-SNG1,NHS2-1329,Healing,Southeast Asia,jamb1236
NHS2-TXC2,NHS2-1331,Procession,Southeast Asia,mang1405
NHS2-V2MG,NHS2-1333,Story,Southeast Asia,mina1268
NHS2-G8EZ,NHS2-1334,Story,Southeast Asia,mina1268
NHS2-GP6X,NHS2-1336,Mourning,Southeast Asia,nias1242
NHS2-1GVP,NHS2-1339,Praise,Southeast Asia,nucl1310
NHS2-4KKI,NHS2-1343,Healing,Southeast Asia,sout2922
NHS2-BHB2,NHS2-1344,Dance,Southeast Asia,sout3184
NHS2-KFAU,NHS2-1345,Healing,Southeast Asia,temi1246
NHS2-RJC6,NHS2-1346,Healing,Southeast Asia,temi1246
NHS2-T018,NHS2-1347,Lullaby,Southeast Asia,viet1252
NHS2-ET5D,NHS2-1348,Work,Southeast Asia,viet1252
NHS2-UOFC,NHS2-1353,Dance,Southeastern Europe,arom1237
NHS2-MKSQ,NHS2-1354,Procession,Southeastern Europe,arom1237
NHS2-WJTO,NHS2-1355,Procession,Southeastern Europe,arom1237
NHS2-P42P,NHS2-1356,Dance,Southeastern Europe,bulg1262
NHS2-IMHK,NHS2-1357,Dance,Southeastern Europe,bulg1262
NHS2-HT2F,NHS2-1359,Mourning,Southeastern Europe,bulg1262
NHS2-8IBT,NHS2-1360,Praise,Southeastern Europe,bulg1262
NHS2-3SLN,NHS2-1361,Procession,Southeastern Europe,bulg1262
NHS2-6HA2,NHS2-1362,Story,Southeastern Europe,bulg1262
NHS2-MOYD,NHS2-1364,Procession,Southeastern Europe,bulg1262
NHS2-0R25,NHS2-1365,Story,Southeastern Europe,bulg1262
NHS2-CG2V,NHS2-1366,Story,Southeastern Europe,bulg1262
NHS2-11ZR,NHS2-1367,Story,Southeastern Europe,bulg1262
NHS2-5WIE,NHS2-1368,Work,Southeastern Europe,bulg1262
NHS2-JLQ7,NHS2-1369,Work,Southeastern Europe,bulg1262
NHS2-T05D,NHS2-1370,Work,Southeastern Europe,bulg1262
NHS2-JIPH,NHS2-1371,Work,Southeastern Europe,bulg1262
NHS2-GQVS,NHS2-1372,Love,Middle East,kurd1259
NHS2-FUK5,NHS2-1375,Dance,Southeastern Europe,mace1250
NHS2-F3H4,NHS2-1376,Love,Southeastern Europe,mode1248
NHS2-ROQE,NHS2-1380,Dance,Southeastern Europe,mode1248
NHS2-S58Q,NHS2-1381,Dance,Southeastern Europe,mode1248
NHS2-E0EF,NHS2-1382,Lullaby,Southeastern Europe,mode1248
NHS2-TRIT,NHS2-1383,Story,Southeastern Europe,mode1248
NHS2-SIVT,NHS2-1385,Dance,Southeastern Europe,nucl1301
NHS2-AMLT,NHS2-1387,Healing,Caucasus,nucl1302
NHS2-HOCY,NHS2-1390,Dance,Southeastern Europe,roma1327
NHS2-YG87,NHS2-1394,Mourning,Southeastern Europe,roma1327
NHS2-ALI7,NHS2-1395,Mourning,Southeastern Europe,roma1327
NHS2-M2TH,NHS2-1396,Mourning,Southeastern Europe,roma1327
NHS2-4KE5,NHS2-1397,Mourning,Southeastern Europe,roma1327
NHS2-SDPZ,NHS2-1406,Story,Southeastern Europe,roma1327
NHS2-CY4T,NHS2-1411,Play,Southeastern Europe,slov1268
NHS2-9F2W,NHS2-1415,Dance,Southeastern Europe,serb1264
NHS2-6C8Y,NHS2-1416,Love,Southeastern Europe,croa1245
NHS2-FSAQ,NHS2-1417,Love,Southeastern Europe,serb1264
NHS2-IED2,NHS2-1418,Lullaby,Southeastern Europe,bosn1245
NHS2-7H7E,NHS2-1419,Mourning,Southeastern Europe,serb1264
NHS2-ZHRT,NHS2-1422,Procession,Southeastern Europe,serb1264
NHS2-78JU,NHS2-1423,Procession,Southeastern Europe,serb1264
NHS2-KPUS,NHS2-1430,Work,Southeastern Europe,serb1264
NHS2-CV77,NHS2-1431,Procession,Southeastern Europe,croa1245
NHS2-DN12,NHS2-1434,Lullaby,Southeastern Europe,gheg1238
NHS2-T6S8,NHS2-1436,Praise,Southeastern Europe,tosk1239
NHS2-W62P,NHS2-1437,Praise,Southeastern Europe,tosk1239
NHS2-D3XG,NHS2-1439,Praise,Southern Africa,anta1255
NHS2-5T4A,NHS2-1440,Love,Southern Africa,aush1241
NHS2-GDCE,NHS2-1443,Healing,Southern Africa,lund1266
NHS2-XP8A,NHS2-1444,Play,Southern Africa,bemb1257
NHS2-979H,NHS2-1445,Mourning,Southern Africa,chok1245
NHS2-AQF0,NHS2-1450,Praise,Southern Africa,here1253
NHS2-UZLM,NHS2-1453,Healing,Southern Africa,juho1239
NHS2-LS5V,NHS2-1454,Lullaby,Southern Africa,kara1484
