new_ids,song,type,region,glottocode
NHS2-3LQ4,NHS2-0171,Dance,Caribbean,anti1245
NHS2-1JW6,NHS2-0172,Dance,Caribbean,anti1245
NHS2-ERLW,NHS2-0173,Lullaby,Caribbean,anti1245
NHS2-IX9E,NHS2-0174,Story,Caribbean,anti1245
NHS2-S2B4,NHS2-0175,Work,Caribbean,anti1245
NHS2-F1GZ,NHS2-0176,Work,Caribbean,anti1245
NHS2-ISYT,NHS2-0177,Dance,Caribbean,gren1247
NHS2-ZX7S,NHS2-0179,Dance,Caribbean,gren1247
NHS2-ULTX,NHS2-0180,Dance,Caribbean,gren1247
NHS2-P5OG,NHS2-0181,Lullaby,Caribbean,gren1247
NHS2-MRNQ,NHS2-0182,Lullaby,Caribbean,less1242
NHS2-49MA,NHS2-0183,Dance,Caribbean,gren1247
NHS2-D4UW,NHS2-0184,Mourning,Caribbean,gren1247
NHS2-DNKN,NHS2-0185,Procession,Caribbean,gren1247
NHS2-0NEA,NHS2-0186,Play,Caribbean,gren1247
NHS2-8RLI,NHS2-0187,Story,Caribbean,gren1247
NHS2-5AW1,NHS2-0188,Dance,Caribbean,guad1242
NHS2-S1ZI,NHS2-0189,Dance,Caribbean,guad1242
NHS2-3NY3,NHS2-0190,Dance,Caribbean,guad1242
NHS2-5FGZ,NHS2-0191,Work,Caribbean,guad1242
NHS2-484H,NHS2-0192,Love,Caribbean,hait1244
NHS2-FUAL,NHS2-0193,Dance,Caribbean,hait1244
NHS2-MV8X,NHS2-0194,Play,Caribbean,hait1244
NHS2-DL2Z,NHS2-0195,Dance,Caribbean,sain1246
NHS2-BM3C,NHS2-0197,Dance,Caribbean,mart1259
NHS2-6W0X,NHS2-0199,Mourning,Caribbean,domi1242
NHS2-29EL,NHS2-0201,Play,Caribbean,jama1262
NHS2-ONH7,NHS2-0211,Story,Caribbean,stan1288
NHS2-2UPM,NHS2-0214,Lullaby,Caribbean,less1242
NHS2-8CML,NHS2-0215,Lullaby,Caribbean,gren1247
NHS2-9MP5,NHS2-0225,Lullaby,Caribbean,gren1247
NHS2-TBMU,NHS2-0226,Dance,Caucasus,abkh1244
NHS2-KK34,NHS2-0227,Mourning,Caucasus,abkh1244
NHS2-NLXG,NHS2-0228,Mourning,Caucasus,abkh1244
NHS2-U0D9,NHS2-0229,Praise,Caucasus,abkh1244
NHS2-2PAA,NHS2-0230,Praise,Caucasus,abkh1244
NHS2-AGW9,NHS2-0231,Praise,Caucasus,abkh1244
NHS2-M2XD,NHS2-0233,Procession,Caucasus,abkh1244
NHS2-Z8E6,NHS2-0234,Praise,Caucasus,abkh1244
NHS2-6HQM,NHS2-0235,Story,Caucasus,abkh1244
NHS2-8K9B,NHS2-0236,Work,Caucasus,abkh1244
NHS2-Y6V2,NHS2-0237,Love,Caucasus,nort2697
NHS2-LCV6,NHS2-0238,Dance,Caucasus,nucl1235
NHS2-XQPR,NHS2-0241,Dance,Caucasus,nucl1235
NHS2-P36L,NHS2-0242,Dance,Caucasus,nucl1302
NHS2-A57S,NHS2-0243,Dance,Caucasus,nucl1302
NHS2-JM0N,NHS2-0244,Dance,Caucasus,osse1245
NHS2-IOK8,NHS2-0245,Healing,Caucasus,nucl1302
NHS2-43S3,NHS2-0246,Healing,Caucasus,nucl1302
NHS2-46GT,NHS2-0247,Love,Caucasus,nucl1302
NHS2-FY2K,NHS2-0248,Love,Caucasus,nucl1302
NHS2-OFQP,NHS2-0249,Lullaby,Caucasus,nucl1302
NHS2-1WCG,NHS2-0250,Mourning,Caucasus,nucl1302
NHS2-6NQQ,NHS2-0251,Mourning,Caucasus,nucl1302
NHS2-1E7A,NHS2-0252,Work,Caucasus,nucl1302
NHS2-JZ6W,NHS2-0253,Praise,Caucasus,nucl1302
NHS2-KEYP,NHS2-0255,Procession,Caucasus,nucl1302
NHS2-M0AP,NHS2-0257,Story,Caucasus,nucl1302
NHS2-SHDA,NHS2-0258,Work,Caucasus,nucl1302
NHS2-TNEF,NHS2-0259,Work,Caucasus,nucl1302
NHS2-WVCH,NHS2-0260,Work,Caucasus,nucl1302
NHS2-HDCR,NHS2-0261,Work,Caucasus,nucl1302
NHS2-Y649,NHS2-0262,Dance,Central Africa,akan1250
NHS2-B0QQ,NHS2-0263,Lullaby,Central Africa,akan1250
NHS2-GOPJ,NHS2-0264,Dance,Central Africa,aush1241
NHS2-S814,NHS2-0265,Story,Central Africa,bant1295
NHS2-DMS2,NHS2-0267,Healing,Central Africa,bila1255
NHS2-J6LT,NHS2-0269,Praise,Central Africa,chad1249
NHS2-8GIQ,NHS2-0270,Lullaby,Central Africa,tebu1238
NHS2-B9PR,NHS2-0271,Dance,Central Africa,cent2225
NHS2-T8UF,NHS2-0272,Love,Central Africa,fang1246
NHS2-MU8R,NHS2-0275,Love,Central Africa,kiny1244
NHS2-RFNO,NHS2-0276,Healing,Central Africa,koyo1242
NHS2-N9YG,NHS2-0277,Lullaby,Central Africa,lito1235
NHS2-0DXY,NHS2-0278,Play,Central Africa,lito1235
NHS2-C15J,NHS2-0279,Play,Central Africa,lito1235
NHS2-RCBL,NHS2-0280,Play,Central Africa,lito1235
NHS2-XWL8,NHS2-0281,Procession,Central Africa,luba1249
NHS2-IKPC,NHS2-0286,Dance,Central Africa,mong1338
NHS2-SE7M,NHS2-0289,Lullaby,Central Africa,nort2775
NHS2-18M3,NHS2-0291,Lullaby,Southern Africa,nsen1242
NHS2-15NH,NHS2-0292,Work,Central Africa,nsen1242
NHS2-DGJS,NHS2-0293,Work,Central Africa,phen1239
NHS2-L177,NHS2-0294,Mourning,Central Africa,poke1238
