song,type,region,glottocode
NHS2-BM3C,Dance,Caribbean,mart1259
NHS2-6W0X,Mourning,Caribbean,domi1242
NHS2-29EL,Play,Caribbean,jama1262
NHS2-ONH7,Story,Caribbean,stan1288
NHS2-2UPM,Lullaby,Caribbean,less1242
NHS2-8CML,Lullaby,Caribbean,gren1247
NHS2-9MP5,Lullaby,Caribbean,gren1247
NHS2-F27V,Praise,Caribbean,stan1288
NHS2-WLMB,Praise,Caribbean,stan1288
NHS2-TBMU,Dance,Caucasus,abkh1244
NHS2-KK34,Mourning,Caucasus,abkh1244
NHS2-NLXG,Mourning,Caucasus,abkh1244
NHS2-U0D9,Praise,Caucasus,abkh1244
NHS2-2PAA,Praise,Caucasus,abkh1244
NHS2-AGW9,Praise,Caucasus,abkh1244
NHS2-M2XD,Procession,Caucasus,abkh1244
NHS2-Z8E6,Praise,Caucasus,abkh1244
NHS2-6HQM,Story,Caucasus,abkh1244
NHS2-8K9B,Work,Caucasus,abkh1244
NHS2-Y6V2,Love,Caucasus,nort2697
NHS2-LCV6,Dance,Caucasus,nucl1235
NHS2-XQPR,Dance,Caucasus,nucl1235
NHS2-P36L,Dance,Caucasus,nucl1302
NHS2-A57S,Dance,Caucasus,nucl1302
NHS2-JM0N,Dance,Caucasus,osse1245
NHS2-IOK8,Healing,Caucasus,nucl1302
NHS2-43S3,Healing,Caucasus,nucl1302
NHS2-46GT,Love,Caucasus,nucl1302
NHS2-FY2K,Love,Caucasus,nucl1302
NHS2-OFQP,Lullaby,Caucasus,nucl1302
NHS2-1WCG,Mourning,Caucasus,nucl1302
NHS2-6NQQ,Mourning,Caucasus,nucl1302
NHS2-1E7A,Work,Caucasus,nucl1302
NHS2-JZ6W,Praise,Caucasus,nucl1302
NHS2-KEYP,Procession,Caucasus,nucl1302
NHS2-M0AP,Story,Caucasus,nucl1302
NHS2-SHDA,Work,Caucasus,nucl1302
NHS2-TNEF,Work,Caucasus,nucl1302
NHS2-WVCH,Work,Caucasus,nucl1302
NHS2-HDCR,Work,Caucasus,nucl1302
NHS2-PBI3,Love,Caucasus,nucl1235
NHS2-OW5R,Love,Caucasus,nucl1235
NHS2-985K,Love,Caucasus,cent1972
NHS2-AMLT,Healing,Caucasus,nucl1302
NHS2-Y649,Dance,Central Africa,akan1250
NHS2-B0QQ,Lullaby,Central Africa,akan1250
NHS2-GOPJ,Dance,Central Africa,aush1241
NHS2-S814,Story,Central Africa,bant1295
NHS2-DMS2,Healing,Central Africa,bila1255
NHS2-J6LT,Praise,Central Africa,chad1249
NHS2-8GIQ,Lullaby,Central Africa,tebu1238
NHS2-B9PR,Dance,Central Africa,cent2225
NHS2-T8UF,Love,Central Africa,fang1246
NHS2-MU8R,Love,Central Africa,kiny1244
NHS2-RFNO,Healing,Central Africa,koyo1242
NHS2-N9YG,Lullaby,Central Africa,lito1235
NHS2-0DXY,Play,Central Africa,lito1235
NHS2-C15J,Play,Central Africa,lito1235
NHS2-RCBL,Play,Central Africa,lito1235
NHS2-XWL8,Procession,Central Africa,luba1249
NHS2-IKPC,Dance,Central Africa,mong1338
NHS2-SE7M,Lullaby,Central Africa,nort2775
NHS2-15NH,Work,Central Africa,nsen1242
NHS2-DGJS,Work,Central Africa,phen1239
NHS2-L177,Mourning,Central Africa,poke1238
NHS2-E7QN,Work,Central Africa,poke1238
NHS2-UL4E,Healing,Central Africa,west2458
NHS2-M0QV,Healing,Central Africa,west2721
NHS2-50PO,Story,Central Africa,yaka1272
NHS2-HBHZ,Story,Central Africa,bamb1264
NHS2-YTTL,Dance,Central America,gari1256
NHS2-K0S3,Love,Central America,vinc1243
NHS2-13WN,Love,Central America,gari1256
NHS2-LO2V,Dance,Central America,gari1256
NHS2-L4ES,Praise,Central America,gari1256
NHS2-ATWM,Story,Central America,misk1235
NHS2-O0LK,Story,Central America,misk1235
NHS2-WQYY,Story,Central America,west2854
NHS2-IE0N,Story,Central America,sana1297
NHS2-R2EN,Story,Central America,nica1252
NHS2-5BTW,Healing,Central America,nort2972
NHS2-KSRM,Healing,Central America,nort2972
NHS2-SF43,Dance,Central America,pipi1250
NHS2-PX6B,Healing,Central America,sanb1242
NHS2-E1MN,Lullaby,Central America,sanb1242
NHS2-2KUR,Lullaby,Central America,sanb1242
NHS2-HRC7,Love,Central America,stan1288
NHS2-PB4T,Lullaby,Central America,stan1288
NHS2-X1WQ,Lullaby,Central America,stan1288
NHS2-J69Y,Lullaby,Central America,stan1288
NHS2-9TJI,Praise,Central America,stan1288
NHS2-ZCTI,Praise,Central America,stan1288
NHS2-AD22,Praise,Central America,stan1288
NHS2-7J2N,Praise,Central America,stan1288
NHS2-S6AP,Praise,Central America,stan1288
NHS2-DGE5,Story,Central America,nica1252
NHS2-3H55,Healing,Central America,sanb1242
NHS2-7HG1,Lullaby,Central America,sanb1242
NHS2-6U9V,Dance,Central Andes,coca1259
NHS2-DG59,Love,Central Andes,ayac1239
NHS2-6NUZ,Mourning,Central Andes,ayac1239
NHS2-ERSV,Praise,Central Andes,ayac1239
NHS2-LEX9,Work,Central Andes,ayac1239
NHS2-JRIA,Lullaby,Central Andes,cent2142
NHS2-706E,Mourning,Central Andes,nucl1667
NHS2-42H9,Work,Central Andes,cent2142
NHS2-EPF6,Lullaby,Central Andes,cusc1236
NHS2-MY33,Procession,Central Andes,cusc1236
NHS2-74S4,Story,Central Andes,cusc1236
NHS2-9P04,Lullaby,Central Andes,ship1254
NHS2-CN26,Dance,Central Andes,jiva1245
NHS2-4H1R,Procession,Central Andes,sout2991
NHS2-FVGG,Procession,Central Andes,sout2996
NHS2-YCNL,Love,Central Andes,cusc1236
NHS2-2FZK,Love,Central Asia,bukh1238
NHS2-340R,Love,Central Asia,bukh1238
NHS2-C2VY,Dance,Central Asia,bukh1238
NHS2-CS8N,Mourning,Central Asia,buru1296
NHS2-R09B,Love,Central Asia,dari1249
NHS2-LF3O,Lullaby,Central Asia,kara1467
NHS2-ZTKY,Work,Central Asia,kaza1248
NHS2-FM7L,Story,Central Asia,kirg1245
NHS2-URYE,Work,Central Asia,nort2646
NHS2-VVZF,Love,Central Asia,taji1245
NHS2-UJ0X,Love,Central Asia,taji1245
NHS2-7M2U,Love,Central Asia,taji1245
NHS2-BPA8,Love,Central Asia,taji1245
NHS2-M00Z,Praise,Central Asia,shug1248
NHS2-G277,Healing,Central Asia,tuvi1240
NHS2-2ZO6,Lullaby,Central Asia,tuvi1240
NHS2-0NQ8,Mourning,Central Asia,tuvi1240
NHS2-KZJ0,Praise,Central Asia,tuvi1240
NHS2-YG7G,Healing,Central Asia,uigh1240
NHS2-MWH7,Love,Central Asia,uigh1240
NHS2-P5JI,Story,Central Asia,kaza1248
NHS2-24OH,Dance,Central Asia,taji1245
NHS2-P7C5,Love,Central Asia,taji1245
NHS2-XQVH,Work,Central Europe,bava1246
NHS2-7A2U,Love,Central Europe,czec1258
NHS2-XYGX,Lullaby,Central Europe,czec1258
NHS2-E879,Dance,Central Europe,hung1274
NHS2-IU31,Lullaby,Central Europe,hung1274
NHS2-LVNB,Mourning,Central Europe,hung1274
NHS2-I7H2,Mourning,Central Europe,hung1274
NHS2-YN1A,Work,Central Europe,hung1274
NHS2-D7UD,Praise,Central Europe,kash1274
NHS2-G82R,Dance,Central Europe,poli1260
NHS2-9RD9,Mourning,Central Europe,roma1327
NHS2-BZJ0,Procession,Central Europe,roma1327
NHS2-HELI,Love,Central Europe,slov1269
NHS2-3370,Lullaby,Central Europe,stan1295
NHS2-0NL4,Story,Central Europe,stan1295
NHS2-QR1J,Work,Central Europe,stan1295
NHS2-TTHU,Work,Central Europe,stan1295
NHS2-6R84,Work,Central Europe,lowg1239
NHS2-HO68,Work,Central Mexico,elna1235
NHS2-966Z,Work,Central Mexico,elna1235
NHS2-QIQS,Healing,Central Mexico,huau1238
NHS2-VA7K,Dance,Central Mexico,huic1243
NHS2-UYG4,Dance,Central Mexico,huic1243
NHS2-XTHW,Healing,Central Mexico,huic1243
NHS2-5W5A,Procession,Central Mexico,huic1243
NHS2-UDOB,Play,Central Mexico,mezq1235
NHS2-2C5Q,Love,Central Mexico,pure1242
NHS2-3XWB,Love,Central Mexico,pure1242
NHS2-0NMW,Praise,Central Mexico,pure1242
NHS2-0CO2,Love,Central Mexico,pure1242
NHS2-AZDQ,Story,Central Mexico,stan1288
NHS2-OS0A,Story,Central Mexico,stan1288
NHS2-EYN4,Story,Central Mexico,stan1288
NHS2-UOE5,Story,Central Mexico,stan1288
NHS2-3WPM,Story,Central Mexico,stan1288
NHS2-5H86,Dance,East Asia,ainu1240
NHS2-KTO4,Love,East Asia,ainu1240
NHS2-4RBL,Lullaby,East Asia,ainu1240
NHS2-R4T4,Work,East Asia,amis1246
NHS2-6N1B,Love,East Asia,atay1247
NHS2-NSJK,Praise,East Asia,bunu1267
NHS2-BK1J,Healing,East Asia,bunu1267
NHS2-P3GF,Healing,East Asia,bunu1267
NHS2-CDWZ,Work,East Asia,bunu1267
