song,type,region,glottocode
NHS2-SLI8,Praise,Northern Africa,hass1238
NHS2-R3J7,Story,Northern Africa,hass1238
NHS2-W0KE,Love,Northern Africa,nubi1251
NHS2-6VND,Procession,Northern Africa,beja1238
NHS2-1IVN,Procession,Northern Africa,arab1395
NHS2-LXQB,Procession,Northern Africa,atla1275
NHS2-MQEX,Lullaby,Northern Africa,tuar1240
NHS2-PCMH,Mourning,Northern Africa,tuar1240
NHS2-IPN6,Love,Northern Africa,tama1365
NHS2-GGHC,Love,Northern Africa,tama1365
NHS2-CRJW,Healing,Northern Africa,tuni1259
NHS2-A6ZN,Story,Northern Mexico,cent2131
NHS2-DE8R,Dance,Northern Mexico,yaqu1251
NHS2-RH4A,Dance,Northern Mexico,elna1235
NHS2-3OER,Love,Northern Mexico,huic1243
NHS2-Z8Q6,Dance,Northern Mexico,mayo1264
NHS2-6WJ2,Healing,Northern Mexico,seri1257
NHS2-U27X,Lullaby,Northern Mexico,seri1257
NHS2-S33R,Procession,Northern Mexico,seri1257
NHS2-JL5D,Love,Northern Mexico,stan1288
NHS2-66UQ,Story,Northern Mexico,stan1288
NHS2-4MSG,Story,Northern Mexico,stan1288
NHS2-PKDR,Dance,Northern Mexico,yaqu1251
NHS2-P426,Work,Northwest Coast and California,tlin1245
NHS2-SIW1,Lullaby,Northwest Coast and California,nucl1649
NHS2-ELP3,Lullaby,Northwest Coast and California,haid1248
NHS2-OIRZ,Healing,Northwest Coast and California,kwak1269
NHS2-8TRZ,Healing,Northwest Coast and California,kwak1269
NHS2-8QBW,Love,Northwest Coast and California,kwak1269
NHS2-I0MN,Procession,Northwest Coast and California,kwak1269
NHS2-VX6K,Dance,Northwest Coast and California,nuuc1236
NHS2-T1CP,Dance,Northwest Coast and California,tlin1245
NHS2-765L,Healing,Northwestern South America,guan1269
NHS2-9K3U,Dance,Northwestern South America,choc1280
NHS2-ZRGY,Healing,Northwestern South America,ecua1248
NHS2-ZGKC,Healing,Northwestern South America,chac1249
NHS2-XJ7U,Healing,Northwestern South America,chac1249
NHS2-HMC7,Play,Northwestern South America,stan1288
NHS2-XHF3,Dance,Northwestern South America,arhu1242
NHS2-4KP9,Healing,Northwestern South America,arhu1242
NHS2-LQB9,Dance,Northwestern South America,chac1249
NHS2-405L,Healing,Northwestern South America,cogu1240
NHS2-TKZU,Love,Northwestern South America,cogu1240
NHS2-VN77,Mourning,Northwestern South America,amer1254
NHS2-FNOC,Mourning,Northwestern South America,amer1254
NHS2-0OA3,Work,Northwestern South America,piar1243
NHS2-1G5V,Healing,Northwestern South America,shua1257
NHS2-BJKN,Love,Northwestern South America,jiva1245
NHS2-YLXK,Love,Northwestern South America,jiva1245
NHS2-V8OE,Lullaby,Northwestern South America,shua1257
NHS2-3GZM,Dance,Northwestern South America,stan1288
NHS2-BCK7,Dance,Northwestern South America,stan1288
NHS2-Z96V,Lullaby,Northwestern South America,stan1288
NHS2-MSYE,Lullaby,Northwestern South America,stan1288
NHS2-ES3W,Mourning,Northwestern South America,stan1288
NHS2-DW2U,Story,Northwestern South America,stan1288
NHS2-6B0V,Play,Northwestern South America,stan1288
NHS2-EXGU,Play,Northwestern South America,stan1288
NHS2-2YCF,Play,Northwestern South America,stan1288
NHS2-K4KN,Play,Northwestern South America,stan1288
NHS2-VP4E,Procession,Northwestern South America,stan1288
NHS2-HMFN,Story,Northwestern South America,waor1240
NHS2-2QZ5,Lullaby,Northwestern South America,wayu1243
NHS2-5BUU,Praise,Northwestern South America,stan1288
NHS2-KTHL,Play,Plains and Plateau,chey1247
NHS2-QU3B,Dance,Plains and Plateau,cree1272
NHS2-9BBL,Healing,Plains and Plateau,lako1247
NHS2-LFIO,Praise,Plains and Plateau,dako1258
NHS2-NODK,Healing,Plains and Plateau,kali1308
NHS2-56ZE,Love,Plains and Plateau,kali1308
NHS2-EVGH,Lullaby,Plains and Plateau,kali1308
NHS2-IPO1,Lullaby,Plains and Plateau,kiow1264
NHS2-WY88,Healing,Plains and Plateau,pawn1254
NHS2-EYBO,Love,Plains and Plateau,pawn1254
NHS2-KBLR,Story,Plains and Plateau,pawn1254
NHS2-8SSJ,Dance,Plains and Plateau,siks1238
NHS2-BX0P,Healing,Plains and Plateau,pieg1239
NHS2-JC95,Lullaby,Plains and Plateau,siks1238
NHS2-UDIY,Play,Polynesia,fiji1243
NHS2-9GA2,Dance,Polynesia,hawa1245
NHS2-EXN7,Healing,Polynesia,hawa1245
NHS2-PS37,Love,Polynesia,hawa1245
NHS2-QX2Q,Love,Polynesia,maor1246
NHS2-79XK,Love,Polynesia,maor1246
NHS2-LDPM,Love,Polynesia,maor1246
NHS2-MW5F,Love,Polynesia,maor1246
NHS2-VQLP,Love,Polynesia,maor1246
NHS2-CYTF,Love,Polynesia,maor1246
NHS2-VI5Q,Love,Polynesia,maor1246
NHS2-ZEU0,Lullaby,Polynesia,maor1246
NHS2-LT6Y,Lullaby,Polynesia,maor1246
NHS2-G3HZ,Lullaby,Polynesia,maor1246
NHS2-MEUM,Lullaby,Polynesia,maor1246
NHS2-L4AU,Mourning,Polynesia,maor1246
NHS2-5XFO,Mourning,Polynesia,maor1246
NHS2-NVVR,Mourning,Polynesia,maor1246
NHS2-0KOG,Mourning,Polynesia,maor1246
NHS2-RU8O,Mourning,Polynesia,maor1246
NHS2-5NE5,Story,Polynesia,raro1242
NHS2-VDT8,Story,Polynesia,raro1241
NHS2-BGQZ,Work,Polynesia,maor1246
NHS2-3JUS,Work,Polynesia,maor1246
NHS2-863N,Work,Polynesia,maor1246
NHS2-KVWI,Work,Polynesia,maor1246
NHS2-K9E6,Play,Polynesia,niue1239
NHS2-VIBU,Praise,Polynesia,niue1239
NHS2-GKCY,Play,Polynesia,sout2866
NHS2-IVGT,Play,Polynesia,sout2866
NHS2-6NC7,Play,Polynesia,sout2866
NHS2-8NAB,Procession,Polynesia,sout2866
NHS2-JRP2,Healing,Polynesia,samo1305
NHS2-R06P,Lullaby,Polynesia,samo1305
NHS2-5NO3,Lullaby,Polynesia,samo1305
NHS2-8QYQ,Lullaby,Polynesia,samo1305
NHS2-4RW7,Lullaby,Polynesia,samo1305
NHS2-CP78,Lullaby,Polynesia,samo1305
NHS2-RP29,Lullaby,Polynesia,samo1305
NHS2-V2UK,Play,Polynesia,samo1305
NHS2-445H,Praise,Polynesia,samo1305
NHS2-1BBL,Praise,Polynesia,samo1305
NHS2-VRUD,Praise,Polynesia,samo1305
NHS2-18X6,Dance,Polynesia,samo1305
NHS2-KIYM,Dance,Polynesia,tiko1237
NHS2-JQTW,Dance,Polynesia,tiko1237
NHS2-DHAP,Mourning,Polynesia,tiko1237
NHS2-MG6Y,Dance,Polynesia,tong1325
NHS2-VXRD,Mourning,Polynesia,tong1325
NHS2-DTDM,Play,Polynesia,tong1325
NHS2-QJ8L,Play,Polynesia,tong1325
NHS2-VZGV,Play,Polynesia,tong1325
NHS2-46KG,Lullaby,Scandinavia,dani1285
NHS2-BX30,Praise,Scandinavia,dani1285
NHS2-VBO3,Love,Scandinavia,finn1318
NHS2-AIGL,Mourning,Scandinavia,finn1318
NHS2-TLT0,Lullaby,Scandinavia,icel1247
NHS2-56NT,Story,Scandinavia,icel1247
NHS2-YQ2F,Praise,Scandinavia,icel1247
NHS2-CP41,Love,Scandinavia,kemi1239
NHS2-M2GB,Dance,Scandinavia,norw1258
NHS2-NOHR,Lullaby,Scandinavia,norw1258
NHS2-YJ7K,Lullaby,Scandinavia,norw1258
NHS2-GT5R,Lullaby,Scandinavia,norw1258
NHS2-KLEM,Mourning,Scandinavia,norw1258
NHS2-AN4C,Story,Scandinavia,norw1258
NHS2-W3XP,Work,Scandinavia,norw1258
NHS2-Q6FQ,Lullaby,Scandinavia,saam1281
NHS2-PASM,Dance,Scandinavia,sout2674
NHS2-R1O0,Dance,Scandinavia,swed1254
NHS2-NYZE,Love,Scandinavia,swed1254
NHS2-HJD6,Play,Scandinavia,swed1254
NHS2-X9CV,Love,South Asia,anga1288
NHS2-CVSK,Love,South Asia,beng1280
NHS2-VMFK,Story,South Asia,beng1280
NHS2-AGU1,Work,South Asia,beng1280
NHS2-ZMI9,Work,South Asia,beng1280
NHS2-330H,Healing,South Asia,bhoj1244
NHS2-1MOO,Story,South Asia,bhoj1244
NHS2-XMW2,Story,South Asia,bhoj1244
NHS2-YWOB,Work,South Asia,hind1269
NHS2-FSD4,Love,South Asia,oriy1255
NHS2-EMO1,Love,South Asia,buru1296
NHS2-3LYX,Love,South Asia,pash1269
NHS2-IPF3,Love,South Asia,chak1266
NHS2-S7VB,Lullaby,South Asia,chak1266
NHS2-AQU5,Story,South Asia,chak1266
NHS2-G0G2,Dance,South Asia,garo1247
NHS2-6CUN,Story,South Asia,hind1269
NHS2-79FC,Story,South Asia,jaun1243
NHS2-SG98,Dance,South Asia,kach1277
NHS2-GN1C,Dance,South Asia,guja1252
NHS2-QUO9,Praise,South Asia,tawa1289
NHS2-5HCI,Praise,South Asia,kota1263
NHS2-6UVI,Dance,South Asia,maha1287
NHS2-ZP5P,Love,South Asia,hima1250
NHS2-P77G,Dance,South Asia,mala1464
NHS2-JOI6,Love,South Asia,mala1464
NHS2-TFPI,Praise,South Asia,mala1464
NHS2-BJS2,Story,South Asia,mala1464
NHS2-F36Z,Story,South Asia,mala1464
NHS2-B0XT,Dance,South Asia,mala1464
NHS2-1VEN,Dance,South Asia,meit1246
NHS2-9Y3G,Praise,South Asia,meit1246
NHS2-BNQV,Lullaby,South Asia,mara1378
NHS2-5ETJ,Love,South Asia,muri1262
NHS2-USTD,Love,South Asia,nepa1254
NHS2-RDF4,Story,South Asia,pash1269
NHS2-7RR9,Lullaby,South Asia,tami1289
NHS2-AFQQ,Dance,South Asia,sora1254
NHS2-LYTO,Story,South Asia,sora1254
NHS2-AXMQ,Healing,South Asia,sora1254
NHS2-55W8,Praise,South Asia,sora1254
NHS2-L9OE,Praise,South Asia,sora1254
NHS2-J22Q,Story,South Asia,sora1254
NHS2-WXJ5,Work,South Asia,sora1254
NHS2-HHEG,Praise,South Asia,sera1259
NHS2-DKIW,Story,South Asia,sera1259
NHS2-8XAP,Lullaby,South Asia,tami1289
NHS2-OX4P,Mourning,South Asia,tami1289
NHS2-LG9Y,Mourning,South Asia,tami1289
NHS2-4B7D,Story,South Asia,telu1262
NHS2-J76G,Work,South Asia,drav1251
NHS2-UPEJ,Work,South Asia,drav1251
NHS2-TFXV,Procession,South Asia,toda1252
NHS2-DSTK,Love,South Asia,west2386
NHS2-1EJJ,Love,South Asia,west2386
NHS2-XBJ8,Play,South Asia,guja1252
NHS2-19VX,Love,South Asia,hind1269
NHS2-J94J,Mourning,Southeast Asia,eipo1242
NHS2-JWTI,Love,Southeast Asia,bali1278
NHS2-8D26,Love,Southeast Asia,pala1354
NHS2-LQEP,Story,Southeast Asia,pala1354
NHS2-UYWH,Mourning,Southeast Asia,eipo1242
NHS2-8LLJ,Lullaby,Southeast Asia,hanu1241
NHS2-LA7I,Lullaby,Southeast Asia,indo1316
NHS2-1D5A,Love,Southeast Asia,indo1317
NHS2-JYNI,Procession,Southeast Asia,iumi1238
NHS2-RHD1,Play,Southeast Asia,java1254
NHS2-Q655,Story,Southeast Asia,jeha1242
NHS2-A1WC,Procession,Southeast Asia,kamb1320
NHS2-MTQX,Work,Southeast Asia,kamb1320
NHS2-9GQR,Work,Southeast Asia,kamb1320
NHS2-D04O,Work,Southeast Asia,kamb1320
NHS2-NRZX,Love,Southeast Asia,kela1258
NHS2-13QA,Mourning,Southeast Asia,kema1243
NHS2-CJRT,Procession,Southeast Asia,kema1243
NHS2-9W4T,Story,Southeast Asia,kema1243
NHS2-8QLU,Work,Southeast Asia,kohi1250
NHS2-P32P,Lullaby,Southeast Asia,laoo1244
NHS2-I79R,Story,Southeast Asia,laoo1244
NHS2-XIJR,Work,Southeast Asia,lioo1240
NHS2-0BSK,Love,Southeast Asia,magu1243
NHS2-K4B7,Love,Southeast Asia,magu1243
NHS2-51BM,Lullaby,Southeast Asia,magu1243
NHS2-VGRT,Lullaby,Southeast Asia,magu1243
NHS2-TN8J,Story,Southeast Asia,magu1243
NHS2-VEE7,Dance,Southeast Asia,maka1311
NHS2-SNG1,Healing,Southeast Asia,jamb1236
NHS2-TXC2,Procession,Southeast Asia,mang1405
NHS2-V2MG,Story,Southeast Asia,mina1268
NHS2-G8EZ,Story,Southeast Asia,mina1268
NHS2-GP6X,Mourning,Southeast Asia,nias1242
NHS2-1GVP,Praise,Southeast Asia,nucl1310
NHS2-4KKI,Healing,Southeast Asia,sout2922
NHS2-BHB2,Dance,Southeast Asia,sout3184
NHS2-KFAU,Healing,Southeast Asia,temi1246
NHS2-RJC6,Healing,Southeast Asia,temi1246
NHS2-T018,Lullaby,Southeast Asia,viet1252
NHS2-ET5D,Work,Southeast Asia,viet1252
NHS2-GSNT,Healing,Southeast Asia,eipo1242
NHS2-G9MC,Work,Southeast Asia,hanu1241
NHS2-Y7FV,Dance,Southeast Asia,indo1316
NHS2-UOFC,Dance,Southeastern Europe,arom1237
NHS2-MKSQ,Procession,Southeastern Europe,arom1237
NHS2-WJTO,Procession,Southeastern Europe,arom1237
NHS2-P42P,Dance,Southeastern Europe,bulg1262
NHS2-IMHK,Dance,Southeastern Europe,bulg1262
NHS2-HT2F,Mourning,Southeastern Europe,bulg1262
NHS2-8IBT,Praise,Southeastern Europe,bulg1262
NHS2-3SLN,Procession,Southeastern Europe,bulg1262
NHS2-6HA2,Story,Southeastern Europe,bulg1262
NHS2-MOYD,Procession,Southeastern Europe,bulg1262
NHS2-0R25,Story,Southeastern Europe,bulg1262
NHS2-CG2V,Story,Southeastern Europe,bulg1262
NHS2-11ZR,Story,Southeastern Europe,bulg1262
NHS2-5WIE,Work,Southeastern Europe,bulg1262
NHS2-JLQ7,Work,Southeastern Europe,bulg1262
NHS2-T05D,Work,Southeastern Europe,bulg1262
NHS2-JIPH,Work,Southeastern Europe,bulg1262
NHS2-FUK5,Dance,Southeastern Europe,mace1250
NHS2-F3H4,Love,Southeastern Europe,mode1248
NHS2-ROQE,Dance,Southeastern Europe,mode1248
NHS2-S58Q,Dance,Southeastern Europe,mode1248
NHS2-E0EF,Lullaby,Southeastern Europe,mode1248
NHS2-TRIT,Story,Southeastern Europe,mode1248
NHS2-SIVT,Dance,Southeastern Europe,nucl1301
NHS2-HOCY,Dance,Southeastern Europe,roma1327
NHS2-YG87,Mourning,Southeastern Europe,roma1327
NHS2-ALI7,Mourning,Southeastern Europe,roma1327
NHS2-M2TH,Mourning,Southeastern Europe,roma1327
NHS2-4KE5,Mourning,Southeastern Europe,roma1327
NHS2-SDPZ,Story,Southeastern Europe,roma1327
NHS2-CY4T,Play,Southeastern Europe,slov1268
NHS2-9F2W,Dance,Southeastern Europe,serb1264
NHS2-6C8Y,Love,Southeastern Europe,croa1245
NHS2-FSAQ,Love,Southeastern Europe,serb1264
NHS2-IED2,Lullaby,Southeastern Europe,bosn1245
NHS2-7H7E,Mourning,Southeastern Europe,serb1264
NHS2-ZHRT,Procession,Southeastern Europe,serb1264
NHS2-78JU,Procession,Southeastern Europe,serb1264
NHS2-KPUS,Work,Southeastern Europe,serb1264
NHS2-CV77,Procession,Southeastern Europe,croa1245
NHS2-DN12,Lullaby,Southeastern Europe,gheg1238
NHS2-T6S8,Praise,Southeastern Europe,tosk1239
NHS2-W62P,Praise,Southeastern Europe,tosk1239
NHS2-8MOZ,Lullaby,Southeastern Europe,alba1267
NHS2-EG2U,Praise,Southeastern Europe,alba1267
NHS2-18M3,Lullaby,Southern Africa,nsen1242
NHS2-FIKU,Healing,Southern Africa,dama1270
NHS2-D3XG,Praise,Southern Africa,anta1255
NHS2-5T4A,Love,Southern Africa,aush1241
NHS2-GDCE,Healing,Southern Africa,lund1266
NHS2-XP8A,Play,Southern Africa,bemb1257
NHS2-979H,Mourning,Southern Africa,chok1245
NHS2-AQF0,Praise,Southern Africa,here1253
NHS2-UZLM,Healing,Southern Africa,juho1239
NHS2-LS5V,Lullaby,Southern Africa,kara1484
NHS2-L84K,Mourning,Southern Africa,lala1264
NHS2-I4V5,Dance,Southern Africa,lozi1239
NHS2-MC84,Dance,Southern Africa,maha1309
NHS2-WFE1,Healing,Southern Africa,mbuk1240
NHS2-PEN8,Lullaby,Southern Africa,nama1264
NHS2-OBH8,Healing,Southern Africa,naro1249
NHS2-HKI9,Healing,Southern Africa,tshw1239
NHS2-JFOZ,Healing,Southern Africa,naro1249
NHS2-NI78,Mourning,Southern Africa,ngon1269
NHS2-TW9J,Love,Southern Africa,ndon1254
NHS2-K1GM,Dance,Southern Africa,seng1277
NHS2-RCVU,Procession,Southern Africa,nort2795
NHS2-XAH8,Mourning,Southern Africa,nsen1242
NHS2-R269,Work,Southern Africa,nsen1242
NHS2-7XBW,Lullaby,Southern Africa,nyan1308
NHS2-KR0Z,Mourning,Southern Africa,nsen1242
NHS2-Y6R3,Play,Southern Africa,nyan1308
NHS2-I71D,Procession,Southern Africa,nyan1308
NHS2-Z6NC,Lullaby,Southern Africa,nort3233
NHS2-EOAH,Story,Southern Africa,duma1252
NHS2-SCTO,Work,Southern Africa,zezu1238
NHS2-UJ4Z,Lullaby,Southern Africa,sout2807
NHS2-ZRPA,Work,Southern Africa,sout2807
NHS2-TFM3,Lullaby,Southern Africa,swat1243
NHS2-8FCW,Work,Southern Africa,tson1249
NHS2-C5L4,Play,Southern Africa,tswa1253
NHS2-3IQ4,Play,Southern Africa,tswa1253
NHS2-NPYD,Praise,Southern Africa,tswa1253
NHS2-56CF,Praise,Southern Africa,tswa1253
NHS2-T2OE,Play,Southern Africa,tumb1250
NHS2-H187,Story,Southern Africa,tumb1250
NHS2-WO9S,Play,Southern Africa,vend1245
NHS2-UO2B,Play,Southern Africa,vend1245
NHS2-JJPZ,Story,Southern Africa,vend1245
NHS2-NI7X,Dance,Southern Africa,xhos1239
NHS2-4BXQ,Love,Southern Africa,xhos1239
NHS2-8LF0,Love,Southern Africa,xhos1239
NHS2-59RG,Lullaby,Southern Africa,xhos1239
NHS2-PN13,Lullaby,Southern Africa,xhos1239
NHS2-UPIC,Praise,Southern Africa,xhos1239
NHS2-0Q6G,Praise,Southern Africa,xhos1239
NHS2-UELN,Procession,Southern Africa,xhos1239
NHS2-6JVA,Work,Southern Africa,xhos1239
NHS2-42U2,Lullaby,Southern Africa,yaoo1241
NHS2-UF4Y,Love,Southern Africa,zulu1248
NHS2-IO1X,Love,Southern Africa,zulu1248
NHS2-60WA,Love,Southern Africa,zulu1248
NHS2-KAEC,Lullaby,Southern Africa,zulu1248
NHS2-4MJ7,Work,Southern Europe,cala1254
NHS2-7CEW,Dance,Southern Europe,napo1241
NHS2-GNQV,Lullaby,Southern Europe,piem1238
NHS2-W3SC,Praise,Southern Europe,emil1243
NHS2-GBI2,Mourning,Southern Europe,port1283
NHS2-R4RL,Praise,Southern Europe,port1283
NHS2-ERIP,Procession,Southern Europe,port1283
NHS2-0CKA,Work,Southern Europe,port1283
NHS2-6BT9,Love,Southern Europe,sard1257
NHS2-0ZIH,Love,Southern Europe,sard1257
NHS2-AOJA,Love,Southern Europe,sard1257
NHS2-JGOO,Praise,Southern Europe,sici1248
NHS2-XRSU,Play,Southern Europe,stan1288
NHS2-XC4A,Play,Southern Europe,stan1288
NHS2-NQLQ,Play,Southern Europe,stan1288
NHS2-DGOE,Love,Southern South America,mapu1245
NHS2-GAOV,Dance,Southern South America,onaa1245
NHS2-GL6J,Healing,Southern South America,onaa1245
NHS2-SPEE,Lullaby,Southern South America,onaa1245
NHS2-9HLO,Mourning,Southern South America,onaa1245
NHS2-IZJ7,Mourning,Southern South America,onaa1245
NHS2-B94G,Mourning,Southern South America,onaa1245
NHS2-HWFE,Mourning,Southern South America,onaa1245
NHS2-VDWK,Love,Southern South America,qawa1238
NHS2-1DCV,Love,Southern South America,qawa1238
NHS2-1I26,Lullaby,Southern South America,qawa1238
NHS2-DI16,Play,Southern South America,qawa1238
NHS2-ZONP,Play,Southern South America,qawa1238
NHS2-AEWX,Praise,Southern South America,sout2996
NHS2-CCP4,Praise,Southern South America,sout2996
NHS2-S48T,Procession,Southern South America,sout2996
NHS2-085Q,Procession,Southern South America,sout2996
NHS2-5B0Y,Dance,Southern South America,stan1288
NHS2-FG2C,Lullaby,Southern South America,stan1288
NHS2-V0ZT,Dance,Southern South America,mata1291
NHS2-ZLK3,Dance,Southern South America,mata1291
NHS2-6IKY,Healing,Southern South America,wich1262
NHS2-KESR,Mourning,Southern South America,wich1262
NHS2-PJDT,Mourning,Southern South America,wich1262
NHS2-WAGM,Story,Southern South America,qawa1238
NHS2-PLYB,Mourning,Southwest and Basin,hava1248
NHS2-4EAD,Dance,Southwest and Basin,hopi1249
NHS2-E5T5,Lullaby,Southwest and Basin,hopi1249
NHS2-MQZS,Dance,Southwest and Basin,hopi1249
NHS2-3RY9,Work,Southwest and Basin,huic1243
NHS2-66IN,Dance,Southwest and Basin,kere1287
NHS2-XGAI,Dance,Southwest and Basin,kere1287
NHS2-J5AX,Praise,Southwest and Basin,kiow1266
NHS2-BHQB,Lullaby,Plains,kiow1266
NHS2-8J4L,Healing,Southwest and Basin,quec1382
NHS2-9BBS,Lullaby,Caribbean,stan1288
NHS2-4N10,Play,Central Mexico,stan1288
NHS2-YURR,Play,Central Mexico,stan1288
NHS2-6RXG,Play,Central Mexico,stan1288
NHS2-IY3T,Play,Southwest and Basin,stan1288
NHS2-2NZO,Praise,Southwest and Basin,tewa1260
NHS2-44DS,Dance,Southwest and Basin,toho1245
NHS2-0DNB,Dance,Southwest and Basin,toho1245
NHS2-5W94,Story,Southwest and Basin,toho1245
NHS2-WZ7J,Story,Southwest and Basin,toho1245
NHS2-K39B,Story,Southwest and Basin,toho1245
NHS2-RSEC,Lullaby,Southwest and Basin,zuni1245
NHS2-3MPW,Dance,Southwest and Basin,zuni1245
NHS2-9YBX,Dance,Western Africa,akan1250
NHS2-XRSS,Healing,Western Africa,baou1238
NHS2-NFZO,Mourning,Western Africa,akan1250
NHS2-I3W7,Lullaby,Central Africa,bafu1246
NHS2-NS9J,Praise,Western Africa,bulu1251
NHS2-M2W6,Praise,Western Africa,bulu1251
NHS2-5NN8,Story,Western Africa,bulu1251
NHS2-RVXZ,Work,Western Africa,bulu1251
NHS2-OXV1,Love,Western Africa,cent2018
NHS2-1K35,Work,Central Africa,duma1253
NHS2-08KZ,Work,Central Africa,duma1253
NHS2-QAHO,Dance,Western Africa,ewee1241
NHS2-914A,Praise,Western Africa,jola1263
NHS2-M6X4,Procession,Western Africa,jola1263
NHS2-2UTZ,Work,Western Africa,jola1263
NHS2-SGKE,Praise,Western Africa,nucl1347
NHS2-X86V,Lullaby,Western Africa,tama1365
NHS2-06LY,Work,Central Africa,wuzl1236
NHS2-6ZL9,Dance,Western Europe,basq1248
NHS2-733A,Love,Western Europe,basq1248
NHS2-E2SX,Love,Western Europe,basq1248
NHS2-TBBB,Lullaby,Western Europe,basq1248
NHS2-YLV9,Praise,Western Europe,basq1248
NHS2-J2V9,Praise,Western Europe,basq1248
NHS2-MF7G,Story,Western Europe,dutc1256
NHS2-WGYL,Work,Western Europe,dutc1256
NHS2-LFJR,Story,Western Europe,dutc1256
NHS2-ZAHV,Lullaby,Western Europe,dutc1256
NHS2-R21G,Story,Western Europe,dutc1256
NHS2-QNJC,Story,Western Europe,dutc1256
NHS2-KG5I,Story,Western Europe,dutc1256
NHS2-OAVX,Story,Western Europe,dutc1256
NHS2-RHJB,Story,Western Europe,dutc1256
NHS2-EOJ6,Story,Western Europe,dutc1256
NHS2-SJTH,Story,Western Europe,dutc1256
NHS2-U14O,Love,Western Europe,stan1295
NHS2-V3L7,Dance,Western Europe,auve1239
NHS2-KH0L,Dance,Western Europe,auve1239
NHS2-JDTL,Lullaby,Western Europe,stan1290
NHS2-OU7B,Lullaby,Western Europe,stan1290
NHS2-ZJ3C,Procession,Western Europe,stan1290
NHS2-2PWX,Work,Western Europe,berr1239
NHS2-VP4X,Dance,Western Europe,wall1255
