Filename,Song name,Track no,Source,Link,Format,Ready to digitize?,Track acquired?,
NHS2-1403.wav,Cântecul Cununii,NA,Various archives/libraries,https://www.worldcat.org/title/folk-music-of-rumania/oclc/7457242&referer=brief_results.,LP,n,n,These tracks are from same album which has a different track listing depending on if it's CD or LP. Here's the CD if necessary : https://www.discogs.com/sell/release/6562806?ev=rb
NHS2-1408.wav,Pleacă june-ntr-un vînat,NA,Various archives/libraries,https://www.worldcat.org/title/folk-music-of-rumania/oclc/7457242&referer=brief_results.,LP,n,n,These tracks are from same album which has a different track listing depending on if it's CD or LP. Here's the CD if necessary : https://www.discogs.com/sell/release/6562806?ev=rb
NHS2-1409.wav,Ballad of Iovan Iorgovan,"CD 1, TRACK 24",Various archives/libraries,https://www.worldcat.org/title/folk-music-of-rumania/oclc/7457242&referer=brief_results.,LP,n,n,These tracks are from same album which has a different track listing depending on if it's CD or LP. Here's the CD if necessary : https://www.discogs.com/sell/release/6562806?ev=rb
NHS2-0465.wav,Healing Chant,"Disc 1, Track 2",Harvard Library,https://www.worldcat.org/title/musiques-mexicaines/oclc/19569251&referer=brief_results,LP,n,n,LP purchase: https://www.discogs.com/sell/list?master_id=156871&ev=mb.
NHS2-0470.wav,Music for the peyotl ceremony,"Disc 1, Track 8",Harvard Library,https://www.worldcat.org/title/musiques-mexicaines/oclc/19569251&referer=brief_results,LP,n,n,LP purchase: https://www.discogs.com/sell/list?master_id=156871&ev=mb.
NHS2-0475.wav,Love Song,"Side B, Track 6",Harvard Library,https://www.worldcat.org/title/musiques-mexicaines/oclc/19569251&referer=brief_results,LP,n,n,LP purchase: https://www.discogs.com/sell/list?master_id=156871&ev=mb.
NHS2-0492.wav,Danza de los Santiagos,"Disc 1, Track 6",Harvard Library,https://www.worldcat.org/title/musiques-mexicaines/oclc/19569251&referer=brief_results,LP,n,n,LP purchase: https://www.discogs.com/sell/list?master_id=156871&ev=mb.
NHS2-0953.wav,Fatha,"Side A, Band 3",Harvard Library,https://www.worldcat.org/title/moroccan-music-the-pan-islamic-tradition/oclc/25457764&referer=brief_results,LP,n,n,LP purchase: https://www.discogs.com/sell/release/2401219?ev=rb
NHS2-0479.wav,Tsipashmajétzi,NA,Various archives/libraries,http://www.worldcat.org/title/nuevo-dia/oclc/699817049&referer=brief_results,CD,n,n,"very obscure cd, will probably have to re-source"
NHS2-0485.wav,Uichu urapiti,NA,Various archives/libraries,https://www.worldcat.org/title/nuevo-dia/oclc/699817049?referer=brief_results,CD,n,n,"very obscure cd, will probably have to re-source"
NHS2-0486.wav,Ni paja nintani,NA,Various archives/libraries,https://www.worldcat.org/title/nuevo-dia/oclc/699817049?referer=brief_results,CD,n,n,"very obscure cd, will probably have to re-source"
NHS2-0082.wav,"Petting Song, Number 2",NA,Various archives/libraries,https://www.worldcat.org/title/kalatdlit-ivngerutitokait-gamle-grnlandske-sange-traditional-songs-of-greenland/oclc/28658623&referer=brief_results,LP,n,n,if unavailable: https://www.discogs.com/sell/release/11136702?ev=rb for 44 dollars
NHS2-0083.wav,Lullaby,"Volume 1, DFS 456",Various archives/libraries,https://www.worldcat.org/title/kalatdlit-ivngerutitokait-gamle-grnlandske-sange-traditional-songs-of-greenland/oclc/28658623&referer=brief_results,LP,n,n,if unavailable: https://www.discogs.com/sell/release/11136702?ev=rb for 44 dollars
