Filename,Song name,Track no,Source,Link,Format,Next step,location,TOS,Ready to grab now? (if TOS is ok),Acquired?
NHS2-1309.wav,Threshing Song 1,NA,Various archives/libraries,https://sites.lsa.umich.edu/webbkeane/,,Email and request tracks,Webb Keane Collection,,n,n
NHS2-1308.wav,Payoyielangu,NA,Various archives/libraries,https://sites.lsa.umich.edu/webbkeane/,,Email and request tracks,Webb Keane Collection,,n,n
NHS2-1179.wav,Tau'a'alo,NA,Various archives/libraries,https://manoa.hawaii.edu/music/about-us/faculty/jane-freeman-moulin/,,Email and request tracks,Jane Freeman Moulin,,n,n
NHS2-1155.wav,Paddling Song,NA,Various archives/libraries,https://manoa.hawaii.edu/music/about-us/faculty/jane-freeman-moulin/,,Email and request tracks,Jane Freeman Moulin,,n,n
NHS2-1149.wav,Men's Praise Song,NA,Various archives/libraries,https://manoa.hawaii.edu/music/about-us/faculty/jane-freeman-moulin/,,Email and request tracks,Jane Freeman Moulin,,n,n
NHS2-1141.wav,Lullaby,NA,Various archives/libraries,https://manoa.hawaii.edu/music/about-us/faculty/jane-freeman-moulin/,,Email and request tracks,Jane Freeman Moulin,,n,n
NHS2-1139.wav,Medicinal Chant,NA,Various archives/libraries,https://manoa.hawaii.edu/music/about-us/faculty/jane-freeman-moulin/,,Email and request tracks,Jane Freeman Moulin,,n,n
NHS2-1138.wav,Siva,NA,Various archives/libraries,https://manoa.hawaii.edu/music/about-us/faculty/jane-freeman-moulin/,,Email and request tracks,Jane Freeman Moulin,,n,n
NHS2-1310.wav,Pa rowa lalungu 1,NA,Various archives/libraries,https://sites.lsa.umich.edu/webbkeane/,,Email and request tracks,webb Keane Collection,,n,n
NHS2-1635.wav,Ring Dance - Camel Back Mountain,no track number Lomax Source: T1610 .2,Various archives/libraries,,,Email and request tracks,LOC- Laura Boulton Pima collection,Email and find track - ask about digitization,n,n
NHS2-1700.wav,Man at Work on Dyke,NA,Various archives/libraries,,,"GJ got tracks from Uni of Amsterdam, Ethnomusicology Archive - contact?","Ethnomusicology Archive, UvA",,n,n
