There are 0 tracks left to validate.,,,Sumi has done 740 and Vanessa has done 805.,,Yes,SON,"1. Confirm that the track is NOT SKETCHY (e.g., overproduced, operatic, etc).",2. Confirm that there is an AUDIBLE SINGER.,3. Are there any problems with the TYPE classification?,4. Are there any problems with the REGION classification? ,5. Are there any problems with the GLOTTOCODE classification?,,"These fields are provided for quick reference, as they might make it easier to locate validation info in liner notes",,,,,,,,,
NHS2-0054,Dance,Amazon and Orinoco,Yawalapiti,yawa1261,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/yawa1261,Danses Villager,NA,The song is identified as such in its title or label,Genre: Dance song //GLOBAL JUKEBOX CODING ID: 3864//,Description: Village dance; in a Caribbean manner //GLOBAL JUKEBOX CODING ID: 3864//,1,,HLR,CMB
NHS2-0010,Healing,Amazon and Orinoco,Carib,gali1262,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/gali1262,Rituel chamanique thérapeutique kalina (Guyane),Track 11,The song is identified as such in its title or label,Rituel chamanique thérapeutique kalina Translated Title: Healing shamanic rite of the Kalina //ALEXANDER STREET CATALOG NUMBER: 1989952//,NA,1,,HLR,JSL
NHS2-0014,Healing,Amazon and Orinoco,Guahibo,guah1255,Yes,VYM,Yes,Yes,Not problematic,Maybe problematic,Not problematic,Venezuela is in Northwestern South America,https://glottolog.org/resource/languoid/id/guah1255,Testete,NA,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Genre: Healing song; men's song //GLOBAL JUKEBOX CODING ID: 1807//,Description: Men's song; used to cure snake bites //GLOBAL JUKEBOX CODING ID: 1807//,1,,HLR,CMB
NHS2-0016,Healing,Amazon and Orinoco,Wanano,guan1269,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/guan1269,Curing chants - prayers - Ricardo,1,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Curing chants - prayers - Ricardo //AILLA: Home » Collections » Tucanoan Languages Collection of Janet Chernela » Curing chants - prayers - Ricardo//,NA,1,,HLR,LGY
NHS2-0029,Healing,Amazon and Orinoco,Ye'kuana,maqu1238,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/maqu1238,Mëdëjene,Track 6,,6,6,1,,SAM,LGY
NHS2-0032,Healing,Amazon and Orinoco,Pume,pume1238,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/pume1238,Curing Song,NA,The song is identified as such in its title or label,Song: Curing Song Genre: Shaman song; healing song //GLOBAL JUKEBOX CODING ID: 152//,Description: Shaman's curing song //GLOBAL JUKEBOX CODING ID: 152//,1,,HLR,LGY
NHS2-0041,Healing,Amazon and Orinoco,Kisedje,suya1243,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/suya1243,"Sangere 1, Incantation for Curing",Track 7 on the original vinyl,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Genre: Healing song; animal song //GLOBAL JUKEBOX CODING ID: 9788//,"No. 6 is a curing song (sangere). It is a type of 'prayer' which is chanted rapidly in a low voice, sometimes whispering; it reminds the reviewer of other shamanistic styles of the Amazon area, such as that of the Jivaros and the Piaro //REVIEW CITING ANTHONY SEEGER'S LINER NOTES, http://www.jstor.org.ezp-prod1.hul.harvard.edu/stable/768453//",1,,HLR,YFS
NHS2-0046,Healing,Amazon and Orinoco,Warao,wara1303,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/wara1303,Ahoa,NA,The song is identified as such in its title or label,Genre: Shaman song; healing song Description: Shaman's curing song //GLOBAL JUKEBOX CODING ID: 4029//,NA,1,,HLR,CMB
NHS2-0055,Healing,Amazon and Orinoco,Yawalapiti,yawa1261,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/yawa1261,Kozi-Kozi,"Side B, Track 10 from original CD","The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Genre: Healing song; animal song; dance song //GLOBAL JUKEBOX CODING ID: 138//,"When a man has met with screaming monkeys in the forest who have seized his shadow, he falls ill. Back in the village, he asks that we dance Kozi-kozi to heal him. //CREM-CNRS, GOOGLE-TRANSLATED FROM FRENCH, CODE: CNRSMH_E_1969_005_001_001_10//",1,,HLR,LGY
NHS2-0056,Healing,Amazon and Orinoco,Yawalapiti,yawa1261,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/yawa1261,Continuação da cura,10-Dec,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Continuação da cura //CREM CODE: CNRSMH_I_2002_017_010_12//,"CollectionnBrésil, Haut-Xingu:Rituel ""yawari"" et rituel de cure Yawalapiti //CREM CODE: CNRSMH_I_2002_017_010_12//",1,,HLR,LGY
