There are 0 tracks left to validate.,,,Sumi has done 740 and Vanessa has done 805.,,Yes,SON,"1. Confirm that the track is NOT SKETCHY (e.g., overproduced, operatic, etc).",2. Confirm that there is an AUDIBLE SINGER.,3. Are there any problems with the TYPE classification?,4. Are there any problems with the REGION classification? ,5. Are there any problems with the GLOTTOCODE classification?,,"These fields are provided for quick reference, as they might make it easier to locate validation info in liner notes",,,,,,,,,
NHS2-0554,Praise,East Asia,Pumi,sout2729,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/sout2729,Sing of Chairman Mao,NA,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","""Sing of Chairman Mao"" //CODING ID 9052 ON GLOBAL JUKEBOX","""Song in praise of Chairman Mao"" //CODING ID 9052 ON GLOBAL JUKEBOX",1,,MAK,CMB
NHS2-0560,Praise,East Asia,Yami,yami1254,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/yami1254,Xi Yongquan,"""NA""","There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","""NA"" //CODING ID 30625 ON GLOBAL JUKEBOX","""New homes have been completed; Male leader with male group; begins with long solo, then group joins in for a long phrase; solo then resumes till end"" //CODING ID 30625 ON GLOBAL JUKEBOX",1,,MAK,GGJ
NHS2-0515,Procession,East Asia,Ami,amis1246,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/amis1246,Laliu No Malidengnai,"""NA""","There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","""Elders' song; song for community gathering"" //CODING ID 30348 ON GLOBAL JUKEBOX","""The Elder's Gathering Song; tightly coordinated heterophony"" //CODING ID 30348 ON GLOBAL JUKEBOX",1,,MAK,JSL
NHS2-0529,Procession,East Asia,Korean,kore1280,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/kore1280,Chang-Sa,NA,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Court music //CODING ID 776 ON GLOBAL JUKEBOX,Before the Dance; Korean court music //CODING ID 776 ON GLOBAL JUKEBOX,1,,MAK,CMB
NHS2-0530,Procession,East Asia,Korean,kore1280,Yes,VYM,Yes,Yes,Maybe problematic,Not problematic,Not problematic,Story song: describes a scene where newly apointed magistrate Byun-Hak-Do calls gisaengs employed by the town one by one,https://glottolog.org/resource/languoid/id/kore1280,Gisaengjeomgo,"DISC 2, Track 23","There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",NA,Gisaengjeomgo' is a passage of the Pansori <Chunhyangga> describing a scene where newly appointed magistrate Byun Hak-Do of Namwon calls gisaengs employed by the town one by one. // AWM CD 19539 RELEVANT INFO IN LINER NOTES PAGE 200,1,,WCS,LGY
NHS2-0543,Procession,East Asia,Paiwan,paiw1248,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/paiw1248,Chant de Mariage 1,"""NA""","The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","""Wedding song"" //CODING ID 9745 ON GLOBAL JUKEBOX","""NA"" //CODING ID 9745 ON GLOBAL JUKEBOX",1,,MAK,LGY
NHS2-0551,Procession,East Asia,Saisiyat,sais1237,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/sais1237,Taroko,"""NA""","There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","""Wedding song; welcome song"" //CODING ID 35 ON GLOBAL JUKEBOX","""Welcoming the Bride; the Sajek construct their songs in the form of rounds, a characteristic of hunter-gatherer music in India and Africa"" //CODING ID 35 ON GLOBAL JUKEBOX",1,,MAK,JSL
NHS2-0509,Story,East Asia,Ainu,ainu1240,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/ainu1240,Song About Continence,NA,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Morality song (//Coding ID: 2918 IN GLOBAL JUKEBOX, RELEVANT TEXT IS IN THE GENRE FIELD//)","Song about continence; woman sings about her good behavior during the absence of her husband who was away on a long journey (//Coding ID: 2918 IN GLOBAL JUKEBOX, RELEVANT TEXT IS IN THE DESCRIPTION FIELD//)",1,,PKH,GGJ
NHS2-0510,Story,East Asia,Ainu,ainu1240,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/ainu1240,Celebrating the Descent of a God from the Moon,NA,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Song for deity; celebratory song; song of arrival (//Coding ID: 4346 IN GLOBAL JUKEBOX, RELEVANT TEXT IS IN THE GENRE FIELD//)","Song celebrating the arrival of a god from the Moon (//Coding ID: 4346 IN GLOBAL JUKEBOX, RELEVANT TEXT IS IN THE DESCRIPTION FIELD//)",1,,PKH,GGJ
NHS2-0531,Story,East Asia,Korean,kore1280,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/kore1280,Shin Tan Ga - Chok Byuk Poo,"Disc 1, Track 3","There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","""NA"" //CATALOG NUMBER FW04424_103 FROM SMITHSONIAN FOLKWAYS ALBUM: FOLK & CLASSICAL MUSIC OF KOREA//","""This Korean folk ballad is about Chok Byuk, a famous battleground. The song was written by the Chinese poet Sho Dong Pa, during the Tang dynasty. The poetry describes the beauty of the landscape and nature."" //CATALOG NUMBER FW04424_103 FROM SMITHSONIAN FOLKWAYS ALBUM: FOLK & CLASSICAL MUSIC OF KOREA//",1,,MAK,LGY
NHS2-0532,Story,East Asia,Korean,kore1280,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/kore1280,Arirang,1,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",NA,"Arirang' is a representative song that depicts Korean life as it used to be...In this recording, the song is about entertainment, love with one's beloved and the mind of a woman taunted by a man as well as a refrain of 'Ararang Ararang Arariyo Arirang, Run let's Play (a ship leaves every season). //AWM CD 19539, RELEVANT INFO IN LINER NOTES, PAGE 196-197",1,,WCS,CMB
NHS2-0534,Story,East Asia,Chinese,mand1415,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/mand1415,Village of Peach Blossom (桃花庄),NA,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Jingyun Dagu; narrative song; story song //CODING ID 1569 ON GLOBAL JUKEBOX,"About Lu Zhishen, a character in Water Margin, one of the Four Great Classical Novels of Chinese literature; Peking storyteller //CODING ID 1569 ON GLOBAL JUKEBOX",1,,MAK,CMB
NHS2-0540,Story,East Asia,Japanese,nucl1643,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/nucl1643,Shiraisi Odori,"Disc 1, Track 12","There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","""Heroic song; narrative song; Bon Odori"" //LOMAX SOURCE T6664.B4A ON GLOBAL JUKEBOX","""Bon music; song over 300 years old, stemming from the Jōruri, retelling of heroic tales which began in the 13th century; alternation between the leader/storyteller and the chorus with interjections"" //LOMAX SOURCE T6664.B4A ON GLOBAL JUKEBOX",1,,MAK,LGY
NHS2-0561,Story,East Asia,Yami,yami1254,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/yami1254,Song of the big bird which carried away a man,Track 2,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Story song //AWM CD 9287, RELEVANT INFORMATION IN LINER NOTES, PAGE 59//","This song speaks of a big bird which the Yami call kangkang, 'something like an eagle'. There was a man who went out to work one day, and he had a white shirt on...When the man came back to his village he told the people about his strange adventure.",1,,WCS,JSL
NHS2-0511,Work,East Asia,Ainu,ainu1240,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/ainu1240,Esashi Oiwake,"""NA""","There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","""Fisherman's song; work song; fishing song"" //CODING ID 364 ON GLOBAL JUKEBOX","""The Oiwake was originally a song of the pack-horse drivers of Oiwake, Central Japan; later the same tune with new words became the song of sea laborers"" //CODING ID 364 ON GLOBAL JUKEBOX",1,,MAK,CMB
NHS2-0516,Work,East Asia,Ami,amis1246,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/amis1246,Paka'ng Dokoro - Buffalo herding song,Track 19,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Work song //AWM CD 9287 RELEVANT INFO IN LINER NOTES, PAGE 68//",The buffaloes are taken to their grazing place in the plain. The song is sung to while away the time as the buffaloes are grazing.,1,,WCS,JSL
NHS2-0522,Work,East Asia,Bunun,bunu1267,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/bunu1267,"Pasibutbut, Chant de Germination du Millet","""NA""","There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","""Millet song; agricultural song; circle dance; planting song"" //CODING ID 9742 ON GLOBAL JUKEBOX","""Millet germination song; sung during planting; men hold shoulders and circle slowly counter clockwise, singing with long, open vowels; the pitches are very low and sung quietly to start, then grow progressively higher and louder"" //CODING ID 9742 ON GLOBAL JUKEBOX",1,,MAK,LGY
NHS2-0524,Work,East Asia,Okinawan,cent2126,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/cent2126,U-Gusuku-Guena,"""NA""","There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","""Work song; narrative song"" //LOMAX SOURCE 2A17.B17 ON GLOBAL JUKEBOX","""Farmers' work song; originally long ancient narratives"" //LOMAX SOURCE 2A17.B17 ON GLOBAL JUKEBOX",1,,MAK,LGY
NHS2-0533,Work,East Asia,Korean,kore1280,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/kore1280,Aewonseong,"Disc 2, Track 04","There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",NA,It is the most widely sung folk song in Hamgyeong-do. It was usually sung when women played exciting games or weeded fields and it was easily heard even in mountain villages of the region. // AWM CD 19539 RELEVANT INFO IN LINER NOTES ON PAGE 198//,1,,WCS,LGY
NHS2-0535,Work,East Asia,Chinese,mand1415,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/mand1415,Weeding Song with Gong and Drum,NA,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Work song; agricultural song; weeding song //CODING ID 9057 ON GLOBAL JUKEBOX,eeding song; great glottal shake; ebb and flow of tempo //CODING ID 9057 ON GLOBAL JUKEBOX,1,,MAK,GGJ
NHS2-0536,Work,East Asia,Chinese,mand1415,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/mand1415,Peking Work Song,NA,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Work song //CODING ID 1568 ON GLOBAL JUKEBOX,Four workers are pilling up dirt with the aid of a stone disc moved by rope //CODING ID 1568 ON GLOBAL JUKEBOX,1,,MAK,LGY
NHS2-0541,Work,East Asia,Japanese,nucl1643,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/nucl1643,The song of the shellfish-gatherer,"Disc 2, Track 4","The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","""Gathering song; fishing song"" //LOMAX SOURCE 2A24.C4 ON GLOBAL JUKEBOX","""Song for shellfish gathering"" //LOMAX SOURCE 2A24.C4 ON GLOBAL JUKEBOX",1,,MAK,LGY
NHS2-0542,Work,East Asia,Japanese,nucl1643,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/nucl1643,Ishiya-bushi,"Disc 1, Track 9","There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Work song; responsorial song //LOMAX SOURCE T6664.B1 ON GLOBAL JUKEBOX,Stonecutter's song; male leader with male chorus; call and response; over the sound of sledgehammers //LOMAX SOURCE T6664.B1 ON GLOBAL JUKEBOX,1,,MAK,LGY
NHS2-0546,Work,East Asia,Puyuma,puyu1239,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/puyu1239,Emayahayam 1,"""NA""","There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","""Work song; agricultural song; millet song; gathering song"" //CODING ID 30220 ON GLOBAL JUKEBOX","""Song of the gathering after the weeding of the millet; solo voice is tense and high and embellished; group voices are lower and more relaxed with no embellishment"" //CODING ID 30220 ON GLOBAL JUKEBOX",1,,MAK,JSL
NHS2-0547,Work,East Asia,Puyuma,puyu1239,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/puyu1239,Song of the Cow-Herds and the Cow Girls,"""NA""","The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","""Herding song; work song; pastoral song; cattle song"" //CODING ID 30446 ON GLOBAL JUKEBOX","""NA"" //CODING ID 30446 ON GLOBAL JUKEBOX",1,,MAK,CMB
NHS2-0548,Work,East Asia,Puyuma,puyu1239,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Maybe problematic,no evidence of language...just know it's probably chinese,https://glottolog.org/resource/languoid/id/puyu1239,Weeding song,Track 22,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",NA,"When asked what they sang, the singers answered, miasaqor. The verb saqor means 'to follow a group activity'. It refers to certain group activities which everyone must follow even without explicit order.// AWM CD 9287, RELEVANT INFO FOUND IN LINER NOTES PAGE 70//",1,,WCS,LGY
NHS2-0573,Dance,Eastern Africa,Fur,furr1244,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/furr1244,Diddiz,NA,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Dance song //GLOBAL JUKEBOX CODING ID 4197 GENRE//,Song for dancing Kossok //GLOBAL JUKEBOX CODING ID 4197 DESCRIPTION//,1,,MJW,GGJ
NHS2-0578,Dance,Eastern Africa,Hadza,hadz1240,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/hadz1240,Dance Song,NA,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Dance song //GLOBAL JUKEBOX, HADZA DANCE SONG, CODING ID 4300, AUDIO FILE ID T5439R24//","Dance song for amusement; alternation and overlap between male and female groups //GLOBAL JUKEBOX, HADZA DANCE SONG, CODING ID 4300, AUDIO FILE ID T5439R24//",1,,ERA,GGJ
NHS2-0584,Dance,Eastern Africa,Wahehe,hehe1240,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/hehe1240,Helele Nani Nzovela,NA,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Dance Song //GLOBAL JUKEBOX, CODING ID 2691/2692 (DOUBLE-CODED), AUDIO FILE ID T5441R27//","Kuduo women's wedding dance song //GLOBAL JUKEBOX, CODING ID 2691/2692 (DOUBLE-CODED), AUDIO FILE ID T5441R27//",1,,ERA,GGJ
NHS2-0585,Dance,Eastern Africa,Wahehe,hehe1240,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/hehe1240,Walalemela Mugundu,NA,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Dance song //GLOBAL JUKEBOX, CODING ID 2695, AUDIO FILE ID T5441R29//","Lazy People Have No Fields; Mangala dance song for men and women //GLOBAL JUKEBOX, CODING ID 2695, AUDIO FILE ID T5441R29//",1,,ERA,GGJ
NHS2-0588,Dance,Eastern Africa,Ugandan,hema1238,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/hema1238,Song to Dance by with Vocal Instrumentation,NA,The song is identified as such in its title or label,"Dance song //GLOBAL JUKEBOX, CODING ID 448, AUDIO FILE ID T5442R03//",NA,1,,ERA,GGJ
NHS2-0600,Dance,Eastern Africa,Abaluhya,mara1393,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Maybe problematic,luyi1234,https://glottolog.org/resource/languoid/id/mara1393,Abaluhya Traditional Dancers,NA,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Dance Song //GLOBAL JUKEBOX, CODING ID 4429, AUDIO FILE ID T5561R25//","Abaluhya traditional dancers //GLOBAL JUKEBOX, CODING ID 4429, AUDIO FILE ID T5561R25//",1,,ERA,GGJ
NHS2-0601,Dance,Eastern Africa,Maasai,masa1300,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/masa1300,Embrukoi,Track 20,,17,17,1,,MDS,LGY
NHS2-0605,Dance,Eastern Africa,Nandi,nand1266,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/nand1266,Polan,NA,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Dance song //GLOBAL JUKEBOX, CODING ID 2406, AUDIO FILE ID T5437R30//","Moran dance song about war //GLOBAL JUKEBOX, CODING ID 2406, AUDIO FILE ID T5437R30//",1,,ERA,LGY
NHS2-0610,Dance,Eastern Africa,Sidama,sida1246,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/sida1246,Maji Dance Music,NA,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Dance Song //GLOBAL JUKEBOX, CULT: SIDAMA, AUDIO FILE ID T5553R13//","Dance song; two-part polyphonic music performed at a feast, hocketing, yodel. //GLOBAL JUKEBOX, CODING ID 9428//",1,,ERA,CMB
NHS2-0613,Dance,Eastern Africa,Ajuran,soma1255,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/soma1255,Camel Song and Dance,NA,The song is identified as such in its title or label,"Dance song //GLOBAL JUKEBOX, CODING ID 9975, AUDIO FILE ID T5561R03//",NA,1,,ERA,CMB
NHS2-0614,Dance,Eastern Africa,Dinka,sout2832,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/sout2832,Dance Song,NA,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Dance song //GLOBAL JUKEBOX CODING ID 2055 GENRE//,Dance song //GLOBAL JUKEBOX CODING ID 2055 DESCRIPTION//,1,,MJW,CMB
NHS2-0616,Dance,Eastern Africa,Ja'alin,suda1236,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/suda1236,Merdum Song,NA,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Merdum Song //GLOBAL JUKEBOX, CODING ID 4211, SONG FIELD//","Genre: Dance song; Description: Dance with chorus //GLOBAL JUKEBOX, CODING ID 4211//",1,,MJW,YFS
NHS2-0617,Dance,Eastern Africa,Nuba,talo1250,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/talo1250,Women's Chorus Composed by Song Leader for Special Dance Occasion,NA,The song is identified as such in its title or label,Women's song; dance song //GLOBAL JUKEBOX CODING ID 4184 GENRE// Festive dance song //GLOBAL JUKEBOX CODING ID 4184 DESCRIPTION//,NA,1,,MJW,CMB
NHS2-0622,Dance,Eastern Africa,Nuba,west2807,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/west2807,Kambala Song for Dancing,NA,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Dance song //GLOBAL JUKEBOX CODING ID 4194 GENRE//,Dance song //GLOBAL JUKEBOX CODING ID 4194 SONG DESCRIPTION//,1,,MJW,CMB
NHS2-0568,Healing,Eastern Africa,Amhara,amha1245,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/amha1245,My Medicine,NA,The song is identified as such in its title or label,"Healing song //GLOBAL JUKEBOX, CODING ID 3452, AUDIO FILE ID T5596R07//",NA,1,,ERA,GGJ
NHS2-0575,Healing,Eastern Africa,Baganda,gand1255,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/gand1255,Traditional doctor's cure,Track 7,,10,10,1,,CMB,LGY
NHS2-0609,Healing,Eastern Africa,Shilluk,shil1265,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/shil1265,Song of Deng Ushucalla,NA,The song is identified as such in its title or label,"Healing Song //GLOBAL JUKEBOX, SONG OF DENG USHUCALLA, CODING ID 2060, AUDIO FILE ID T5436R27M//",NA,1,,ERA,CMB
NHS2-0565,Love,Eastern Africa,Afar,afar1241,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/afar1241,Love Song,NA,The song is identified as such in its title or label,"Love song //GLOBAL JUKEBOX, CODING ID 2049, AUDIO FILE ID T40026R04m//",NA,1,,ERA,GGJ
NHS2-0569,Love,Eastern Africa,,amha1245,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/amha1245,Shemonmuanaye,,,,,1,,,LGY
NHS2-0579,Love,Eastern Africa,Hamar,hame1242,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/hame1242,Wedding Song,NA,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Love song //GLOBAL JUKEBOX, CODING ID 4218, AUDIO FILE ID T5625R17m//","""love song formed through alternating verses"" //GLOBAL JUKEBOX, CODING ID 4218, AUDIO FILE ID T5625R17m//",1,,ERA,GGJ
NHS2-0580,Love,Eastern Africa,Hamar,hame1242,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/hame1242,Lebada,NA,The song is identified as such in its title or label,"Love song //GLOBAL JUKEBOX, CODING ID 4222, AUDIO FILE ID T5625R12m//",NA,1,,ERA,GGJ
NHS2-0589,Love,Eastern Africa,Ugandan,hema1238,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/hema1238,Love Song,NA,The song is identified as such in its title or label,"Love Song //GLOBAL JUKEBOX, CODING ID 449, AUDIO FILE ID T5442R04//",NA,1,,ERA,GGJ
NHS2-0592,Love,Eastern Africa,Nuba,kada1282,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/kada1282,Girls's Chorus Love Song [sic],NA,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Love song //GLOBAL JUKEBOX CODING ID 4186 GENRE//,Love song //GLOBAL JUKEBOX CODING ID 4186 DESCRIPTION//,1,,MJW,GGJ
NHS2-0602,Love,Eastern Africa,Maasai,masa1300,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/masa1300,Ngai Aomoningera,NA,The song is identified as such in its title or label,"Love song //GLOBAL JUKEBOX, CODING ID 2287, AUDIO FILE ID T5438R25//",NA,1,,ERA,GGJ
NHS2-0606,Love,Eastern Africa,Nuer,nuer1246,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/nuer1246,Love Story,NA,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Love song //GLOBAL JUKEBOX, CODING ID 2035, AUDIO FILE ID T5437R46, TEXT IN DESCRIPTION FIELD//","Tells of a man too poor to marry his girl //GLOBAL JUKEBOX, CODING ID 2035, AUDIO FILE ID T5437R46, TEXT IN DESCRIPTION FIELD//",1,,ERA,CMB
NHS2-0563,Lullaby,Eastern Africa,Acholi,acol1236,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/acol1236,Latin kok ngo,"TAPE PC 5, TRACK A, item No. 11 (Peter Cooke's notes)","The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Lullaby //BRITISH LIBRARY, PETER COOKE UGANDA COLLECTION, LATIN KOK NGO//","""Lullaby, for putting babies to sleep. Performer's note: Children of Pabo clan."" //BRITISH LIBRARY, PETER COOKE UGANDA COLLECTION, LATIN KOK NGO//",1,,ERA,LGY
NHS2-0571,Lullaby,Eastern Africa,Chiga,chig1238,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/chig1238,Omwana wnagye,NA,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Lullaby //BRITISH LIBRARY, PETER COOKE UGANDA COLLECTION, OMWANA WNAGYE//","Item note: Lullaby Ekirembeserero. Performance note: Accompanied with hand clapping. //BRITISH LIBRARY, PETER COOKE UGANDA COLLECTION, OMWANA WNAGYE//",1,,ERA,LGY
NHS2-0576,Lullaby,Eastern Africa,Baganda,gand1255,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/gand1255,Wowooto,NA,The song is identified as such in its title or label,"Lullaby //BRITISH LIBRARY, PETER COOKE UGANDA COLLECTION, WOWOOTO, SHELF MARK C23/9//",NA,1,,ERA,LGY
NHS2-0607,Lullaby,Eastern Africa,Nyangatom,nyan1315,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/nyan1315,"Tolema, tolema-ey",NA,,NA,1,1,,MDS,LGY
