Filename,Song name,Track no,Source,Link,Format,Location,Acquired?,,
NHS2-0546.wav,Emayahayam 1,"""NA""",Harvard Library,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA211931827070003941&context=L&vid=HVD2&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=books&query=any,contains,Taiwan:%20Music%20of%20Aboriginal%20Tribe&offset=0",cd,loeb,n,Archive of World Music  CD 9287,"if cd is incorrect, interlib loan: https://www.worldcat.org/title/music-of-the-aborigines-on-taiwan-island/oclc/42989720&referer=brief_results"
NHS2-0550.wav,Lullaby,"""NA""",Harvard Library,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA211931827070003941&context=L&vid=HVD2&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=books&query=any,contains,Taiwan:%20Music%20of%20Aboriginal%20Tribe&offset=0",cd,loeb,n,Archive of World Music  CD 9287,"if cd is incorrect, interlib loan: https://www.worldcat.org/title/music-of-the-aborigines-on-taiwan-island/oclc/42989720&referer=brief_results"
NHS2-0561.wav,Song of the big bird which carried away a man,Track 2,Harvard Library,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA211931827070003941&context=L&vid=HVD2&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=books&query=any,contains,Taiwan:%20Music%20of%20Aboriginal%20Tribe&offset=0",cd,loeb,n,Archive of World Music  CD 9287,"if cd is incorrect, interlib loan: https://www.worldcat.org/title/music-of-the-aborigines-on-taiwan-island/oclc/42989720&referer=brief_results"
NHS2-0965.wav,Aili ya Mali,NS,Harvard Library,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA212183535450003941&context=L&vid=HVD2&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=books&query=any,contains,Music%20of%20Morocco:%20Recorded%20By%20Paul%20Bowles&offset=0",cd,loeb,n,Archive of World Music  AC 62,
NHS2-1373.wav,Këngë Djepi,NA,Harvard Library,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA212029526920003941&context=L&vid=HVD2&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=books&query=any,contains,Folk%20Music%20Of%20Albania&offset=0",cd,loeb,n,Archive of World Music  CD 13357,
NHS2-1374.wav,Kenga E Cun Mules,NA,Harvard Library,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA212029526920003941&context=L&vid=HVD2&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=books&query=any,contains,Folk%20Music%20Of%20Albania&offset=0",cd,loeb,n,Archive of World Music  CD 13357,
NHS2-1461.wav,Kivaleo,NA,Harvard Library,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA212024814120003941&context=L&vid=HVD2&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=books&query=any,contains,Pays%20Mikea",cd,loeb,n,Archive of World Music  CD 13551,
NHS2-1462.wav,Iha lahy misera,NA,Harvard Library,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA212024814120003941&context=L&vid=HVD2&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=books&query=any,contains,Pays%20Mikea",cd,loeb,n,Archive of World Music  CD 13551,
NHS2-1463.wav,Koiky,NA,Harvard Library,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA212024814120003941&context=L&vid=HVD2&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=books&query=any,contains,Pays%20Mikea",cd,loeb,n,Archive of World Music  CD 13551,
NHS2-0226.wav,Arkuashaga,Track 8,Harvard Library,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA212137663960003941&context=L&vid=HVD2&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=books&query=any,contains,golden%20fleece&facet=rtype,include,sound_recordings&offset=0",cd,loeb,n,Archive of World Music  CD 17235,
NHS2-0992.wav,Corrido Maquina 501,NA,Harvard Library,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA212093523970003941&context=L&vid=HVD2&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=books&query=any,contains,Cantos%20Ferrocarrileros",cd,loeb,n,Archive of World Music  CD 11764,
NHS2-0290.wav,Gima Biro,NA,Harvard Library,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA211947876030003941&context=L&vid=HVD2&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=books&query=any,contains,Centrafrique:%20Musique%20Gbaya:Chants%20a%20penser.&offset=0",cd,loeb,n,Archive of World Music  CD 9701,
